trichome,cutting,genotype,group,treatment,width_px,lenght_px,width_um,lenght_um,volume_um
303_1_5,1,F2-303,active,Control,37,68,14,26,2820
303_1_6,1,F2-303,active,Control,85,80,33,31,17512
303_2_1,2,F2-303,active,Control,71,82,27,32,12524
303_2_2,2,F2-303,active,Control,90,84,35,32,20614
303_2_3,2,F2-303,active,Control,81,83,31,32,16499
303_2_4,2,F2-303,active,Control,81,90,31,35,17890
303_2_5,2,F2-303,active,Control,66,83,26,32,10954
303_2_6,2,F2-303,active,Control,93,86,36,33,22535
303_2_7,2,F2-303,active,Control,71,107,27,41,16342
303_M_1_1,1,F2-303,active,Mevastatin,54,65,21,25,5742
303_M_2_1,2,F2-303,active,Mevastatin,38,98,15,38,4287
303_M_2_2,2,F2-303,active,Mevastatin,76,53,29,21,9275
303_M_2_3,2,F2-303,active,Mevastatin,57,58,22,22,5709
303_M_2_4,2,F2-303,active,Mevastatin,37,100,14,39,4148
303_M_2_5,2,F2-303,active,Mevastatin,32,45,12,17,1396
303_M_2_6,2,F2-303,active,Mevastatin,32,84,12,32,2606
303_M_2_7,2,F2-303,active,Mevastatin,32,85,12,33,2637
303_M_2_8,2,F2-303,active,Mevastatin,40,31,15,12,1503
303_M_2_9,2,F2-303,active,Mevastatin,44,85,17,33,4986
303_M_2_10,2,F2-303,active,Mevastatin,38,59,15,23,2581
303_M_2_11,2,F2-303,active,Mevastatin,53,87,21,34,7404
CV_1_1,1,CV,lazy,Control,16,27,6,10,209
CV_1_2,1,CV,lazy,Control,14,41,5,16,243
CV_1_3,1,CV,lazy,Control,15,33,6,13,225
CV_1_4,1,CV,lazy,Control,8,37,3,14,72
CV_5_1,5,CV,lazy,Control,15,29,6,11,198
CV_5_Stem_2,5,CV,lazy,Control,9,33,3,13,81
CV_5_Stem_3,5,CV,lazy,Control,30,69,12,27,1881
CV_5_Stem_4,5,CV,lazy,Control,18,58,7,22,569
CV_5_Stem_5,5,CV,lazy,Control,23,52,9,20,833
CV_5_Stem_6,5,CV,lazy,Control,27,57,10,22,1259
CV_5_Stem_7,5,CV,lazy,Control,25,55,10,21,1041
CV_F_1_1,1,CV,lazy,Fosmidomycin,24,27,9,10,471
CV_F_1_2,1,CV,lazy,Fosmidomycin,9,17,3,7,42
CV_F_1_3,1,CV,lazy,Fosmidomycin,11,30,4,12,110
CV_F_1_4,1,CV,lazy,Fosmidomycin,17,28,7,11,245
CV_M_1_1,1,CV,lazy,Mevastatin,27,57,10,22,1259
CV_M_1_2,1,CV,lazy,Mevastatin,9,17,3,7,42
CV_M_1_3,1,CV,lazy,Mevastatin,11,30,4,12,110
CV_M_1_4,1,CV,lazy,Mevastatin,17,28,7,11,245
411_1_1,1,F2-411,lazy,Control,14,45,5,17,267
411_1_2,1,F2-411,lazy,Control,14,63,5,24,374
411_1_3,1,F2-411,lazy,Control,12,49,5,19,214
411_1_4,1,F2-411,lazy,Control,14,68,5,26,404
411_1_5,1,F2-411,lazy,Control,18,51,7,20,501
411_1_6,1,F2-411,lazy,Control,9,65,3,25,160
411_1_7,1,F2-411,lazy,Control,17,51,7,20,447
411_1_8,1,F2-411,lazy,Control,12,73,5,28,318
411_1_9,1,F2-411,lazy,Control,11,58,4,22,213
411_1_10,1,F2-411,lazy,Control,20,84,8,32,1018
411_1_11,1,F2-411,lazy,Control,14,67,5,26,398
411_1_12,1,F2-411,lazy,Control,16,74,6,29,574
411_1_13,1,F2-411,lazy,Control,14,48,5,19,285
411_1_14,1,F2-411,lazy,Control,13,51,5,20,261
411_F_1_1,1,F2-411,lazy,Fosmidomycin,15,46,6,18,314
411_F_1_2,1,F2-411,lazy,Fosmidomycin,12,53,5,21,231
411_F_1_3,1,F2-411,lazy,Fosmidomycin,13,55,5,21,282
411_F_1_4,1,F2-411,lazy,Fosmidomycin,12,31,5,12,135
411_F_1_5,1,F2-411,lazy,Fosmidomycin,16,61,6,24,473
411_F_2_1,2,F2-411,lazy,Fosmidomycin,22,32,9,12,469
411_F_2_2,2,F2-411,lazy,Fosmidomycin,7,31,3,12,46
411_F_2_3,2,F2-411,lazy,Fosmidomycin,12,55,5,21,240
411_F_2_4,2,F2-411,lazy,Fosmidomycin,11,57,4,22,209
411_F_2_5,2,F2-411,lazy,Fosmidomycin,11,55,4,21,202
411_F_2_6,2,F2-411,lazy,Fosmidomycin,5,55,2,21,42
411_M_1_1,1,F2-411,lazy,Mevastatin,19,63,7,24,689
411_M_1_2,1,F2-411,lazy,Mevastatin,17,24,7,9,210
411_M_1_3,1,F2-411,lazy,Mevastatin,24,52,9,20,907
411_M_1_4,1,F2-411,lazy,Mevastatin,19,68,7,26,744
411_M_2_1,2,F2-411,lazy,Mevastatin,19,42,7,16,459
411_M_2_2,2,F2-411,lazy,Mevastatin,16,55,6,21,427
411_M_2_3,2,F2-411,lazy,Mevastatin,16,74,6,29,574
411_M_2_4,2,F2-411,lazy,Mevastatin,17,42,7,16,368
411_M_2_5,2,F2-411,lazy,Mevastatin,11,45,4,17,165
411_M_2_6,2,F2-411,lazy,Mevastatin,10,71,4,27,215
411_M_2_7,2,F2-411,lazy,Mevastatin,16,61,6,24,473
411_M_2_8,2,F2-411,lazy,Mevastatin,9,69,3,27,169
411_M_2_9,2,F2-411,lazy,Mevastatin,14,66,5,26,392
411_M_2_10,2,F2-411,lazy,Mevastatin,10,57,4,22,173
411_M_2_11,2,F2-411,lazy,Mevastatin,20,66,8,26,800
73_C_1_1,1,F2-73,active,Control,64,119,25,46,14767
73_C_1_2,1,F2-73,active,Control,74,96,29,37,15927
73_C_1_3,1,F2-73,active,Control,55,97,21,38,8890
73_C_1_4,1,F2-73,active,Control,81,101,31,39,20077
73_C_1_5,1,F2-73,active,Control,52,102,20,39,8356
73_C_1_6,1,F2-73,active,Control,66,108,26,42,14253
73_C_1_7,1,F2-73,active,Control,75,118,29,46,20110
73_C_1_8,1,F2-73,active,Control,72,104,28,40,16334
73_C_1_9,1,F2-73,active,Control,78,120,30,46,22119
73_C_1_10,1,F2-73,active,Control,38,122,15,47,5337
73_C_1_11,1,F2-73,active,Control,64,111,25,43,13775
73_C_1_12,1,F2-73,active,Control,69,95,27,37,13703
73_C_1_13,1,F2-73,active,Control,48,101,19,39,7050
73_C_1_14,1,F2-73,active,Control,64,96,25,37,11913
73_C_1_15,1,F2-73,active,Control,69,114,27,44,16444
73_C_1_16,1,F2-73,active,Control,63,107,24,41,12867
73_C_1_17,1,F2-73,active,Control,73,106,28,41,17114
73_F_1_1,1,F2-73,active,Fosmidomycin,7,50,3,19,74
73_F_1_2,1,F2-73,active,Fosmidomycin,13,46,5,18,236
73_F_1_3,1,F2-73,active,Fosmidomycin,26,110,10,43,2253
73_F_1_4,1,F2-73,active,Fosmidomycin,11,58,4,22,213
73_F_1_5,1,F2-73,active,Fosmidomycin,9,96,3,37,236
73_F_1_6,1,F2-73,active,Fosmidomycin,14,75,5,29,445
73_F_1_7,1,F2-73,active,Fosmidomycin,10,62,4,24,188
73_F_1_8,1,F2-73,active,Fosmidomycin,16,85,6,33,659
73_F_1_9,1,F2-73,active,Fosmidomycin,17,29,7,11,254
73_F_1_10,1,F2-73,active,Fosmidomycin,8,40,3,15,78
73_F_1_11,1,F2-73,active,Fosmidomycin,10,50,4,19,151
73_F_1_12,1,F2-73,active,Fosmidomycin,11,47,4,18,172
73_F_1_13,1,F2-73,active,Fosmidomycin,7,48,3,19,71
73_F_1_14,1,F2-73,active,Fosmidomycin,20,116,8,45,1406
73_F_1_15,1,F2-73,active,Fosmidomycin,21,103,8,40,1376
73_F_2_1,2,F2-73,active,Fosmidomycin,5,49,2,19,37
73_F_2_2,2,F2-73,active,Fosmidomycin,10,46,4,18,139
73_F_2_3,2,F2-73,active,Fosmidomycin,12,47,5,18,205
73_F_2_4,2,F2-73,active,Fosmidomycin,9,19,3,7,47
73_F_2_5,2,F2-73,active,Fosmidomycin,9,27,3,10,66
73_F_2_6,2,F2-73,active,Fosmidomycin,10,45,4,17,136
73_F_2_7,2,F2-73,active,Fosmidomycin,11,41,4,16,150
73_F_2_8,2,F2-73,active,Fosmidomycin,11,44,4,17,161
73_F_2_9,2,F2-73,active,Fosmidomycin,8,31,3,12,60
73_F_2_10,2,F2-73,active,Fosmidomycin,8,41,3,16,79
73_F_2_11,2,F2-73,active,Fosmidomycin,5,39,2,15,30
73_F_2_12,2,F2-73,active,Fosmidomycin,10,46,4,18,139
73_F_2_13,2,F2-73,active,Fosmidomycin,7,23,3,9,34
73_F_2_14,2,F2-73,active,Fosmidomycin,8,23,3,9,45
73_F_3_1,3,F2-73,active,Fosmidomycin,15,85,6,33,579
73_F_3_2,3,F2-73,active,Fosmidomycin,13,35,5,14,179
73_F_3_3,3,F2-73,active,Fosmidomycin,18,49,7,19,481
73_F_3_4,3,F2-73,active,Fosmidomycin,9,34,3,13,83
73_F_3_5,3,F2-73,active,Fosmidomycin,18,78,7,30,766
73_M_1_1,1,F2-73,active,Mevastatin,34,54,13,21,1891
73_M_1_2,1,F2-73,active,Mevastatin,45,98,17,38,6012
73_M_1_3,1,F2-73,active,Mevastatin,32,93,12,36,2885
73_M_1_4,1,F2-73,active,Mevastatin,28,74,11,29,1758
73_M_1_5,1,F2-73,active,Mevastatin,19,82,7,32,897
73_M_1_6,1,F2-73,active,Mevastatin,42,73,16,28,3901
73_M_1_7,1,F2-73,active,Mevastatin,26,98,10,38,2007
73_M_1_8,1,F2-73,active,Mevastatin,35,106,14,41,3934
73_M_1_9,1,F2-73,active,Mevastatin,66,63,26,24,8314
73_M_1_10,1,F2-73,active,Mevastatin,22,70,9,27,1026
73_M_1_11,1,F2-73,active,Mevastatin,51,90,20,35,7092
73_M_1_12,1,F2-73,active,Mevastatin,31,69,12,27,2009
73_M_1_13,1,F2-73,active,Mevastatin,22,122,9,47,1789
73_M_1_14,1,F2-73,active,Mevastatin,22,93,9,36,1364
73_M_1_15,1,F2-73,active,Mevastatin,27,83,10,32,1833
73_M_2_1,2,F2-73,active,Mevastatin,58,100,22,39,10192
73_M_2_2,2,F2-73,active,Mevastatin,36,106,14,41,4162
73_M_2_3,2,F2-73,active,Mevastatin,47,100,18,39,6693
73_M_2_4,2,F2-73,active,Mevastatin,59,107,23,41,11285
73_M_2_5,2,F2-73,active,Mevastatin,61,103,24,40,11612
73_M_2_6,2,F2-73,active,Mevastatin,41,104,16,40,5297
73_M_2_7,2,F2-73,active,Mevastatin,53,104,21,40,8851
73_M_2_8,2,F2-73,active,Mevastatin,63,109,24,42,13107
73_M_2_9,2,F2-73,active,Mevastatin,33,96,13,37,3167
73_M_2_10,2,F2-73,active,Mevastatin,68,110,26,43,15410
73_M_2_11,2,F2-73,active,Mevastatin,55,102,21,39,9348
73_M_2_12,2,F2-73,active,Mevastatin,65,109,25,42,13952
73_M_2_13,2,F2-73,active,Mevastatin,61,95,24,37,10710
73_M_2_14,2,F2-73,active,Mevastatin,64,105,25,41,13030
73_M_2_15,2,F2-73,active,Mevastatin,45,103,17,40,6319
73_M_2_16,2,F2-73,active,Mevastatin,49,114,19,44,8293
73_M_3_1,3,F2-73,active,Mevastatin,34,97,13,38,3397
73_M_3_2,3,F2-73,active,Mevastatin,38,92,15,36,4025
73_M_3_3,3,F2-73,active,Mevastatin,62,100,24,39,11646
73_M_3_4,3,F2-73,active,Mevastatin,26,90,10,35,1843
73_M_3_5,3,F2-73,active,Mevastatin,66,107,26,41,14121
73_M_3_6,3,F2-73,active,Mevastatin,26,81,10,31,1659
73_M_3_7,3,F2-73,active,Mevastatin,49,105,19,41,7638
73_M_3_8,3,F2-73,active,Mevastatin,49,103,19,40,7492
73_M_3_9,3,F2-73,active,Mevastatin,51,75,20,29,5910
73_M_3_10,3,F2-73,active,Mevastatin,61,101,24,39,11386
73_M_3_11,3,F2-73,active,Mevastatin,32,91,12,35,2823
73_M_3_12,3,F2-73,active,Mevastatin,52,110,20,43,9011
73_C_2_1,2,F2-73,active,Control,58,117,22,45,11924
73_C_2_2,2,F2-73,active,Control,52,125,20,48,10240
73_C_2_3,2,F2-73,active,Control,60,131,23,51,14288
73_C_2_4,2,F2-73,active,Control,42,115,16,44,6146
73_C_2_5,2,F2-73,active,Control,62,99,24,38,11530
73_C_2_6,2,F2-73,active,Control,56,126,22,49,11971
73_C_2_7,2,F2-73,active,Control,34,68,13,26,2382
73_C_2_8,2,F2-73,active,Control,45,124,17,48,7608
73_C_2_9,2,F2-73,active,Control,72,104,28,40,16334
73_C_2_10,2,F2-73,active,Control,64,117,25,45,14519
73_C_2_11,2,F2-73,active,Control,73,124,28,48,20020
73_C_2_12,2,F2-73,active,Control,52,90,20,35,7373
73_C_2_13,2,F2-73,active,Control,65,111,25,43,14208
73_C_2_14,2,F2-73,active,Control,89,114,34,44,27358
73_C_2_15,2,F2-73,active,Control,59,134,23,52,14132
73_C_2_16,2,F2-73,active,Control,67,112,26,43,15232
73_C_3_1,3,F2-73,active,Control,56,115,22,44,10926
73_C_3_2,3,F2-73,active,Control,65,119,25,46,15232
73_C_3_3,3,F2-73,active,Control,50,118,19,46,8938
73_C_3_4,3,F2-73,active,Control,56,120,22,46,11401
73_C_3_5,3,F2-73,active,Control,72,121,28,47,19004
73_C_3_6,3,F2-73,active,Control,57,117,22,45,11517
73_C_3_7,3,F2-73,active,Control,73,108,28,42,17437
73_C_3_8,3,F2-73,active,Control,64,108,25,42,13402
73_C_3_9,3,F2-73,active,Control,84,101,32,39,21591
73_C_3_10,3,F2-73,active,Control,89,115,34,44,27598
73_C_3_11,3,F2-73,active,Control,100,117,39,45,35447
73_C_3_12,3,F2-73,active,Control,66,103,26,40,13593
73_C_3_13,3,F2-73,active,Control,101,125,39,48,38632
73_C_3_14,3,F2-73,active,Control,76,110,29,43,19249
73_C_3_15,3,F2-73,active,Control,68,112,26,43,15690
73_C_3_16,3,F2-73,active,Control,54,85,21,33,7509
