OG0000028	Solyc07g019493.1.1, Solyc12g035192.1.1, Solyc10g050223.1.1, Solyc12g040642.1.1, Solyc06g060195.1.1, Solyc01g057435.1.1, Solyc12g042855.1.1, Solyc04g150146.1.1, Solyc04g050865.1.1, Solyc01g106575.1.1, Solyc06g048713.1.1, Solyc02g014543.1.1, Solyc09g075965.1.1, Solyc06g048683.1.1, Solyc02g062195.1.1, Solyc03g119905.1.1, Solyc02g033035.1.1, Solyc07g041755.1.1, Solyc07g065845.1.1, Solyc04g150127.1.1, Solyc09g011125.1.1, Solyc05g150138.1.1, Solyc05g009275.1.1, Solyc10g008455.1.1, Solyc03g031487.1.1, Solyc01g067045.1.1, Solyc03g083485.1.1, Solyc03g111705.1.1, Solyc03g150108.1.1, Solyc03g044664.1.1, Solyc01g079155.1.1, Solyc08g062433.1.1, Solyc08g075235.1.1, Solyc02g024045.1.1, Solyc02g030461.1.1, Solyc07g044985.1.1, Solyc03g025113.1.1, Solyc06g048575.1.1, Solyc08g065705.1.1, Solyc10g038045.1.1, Solyc08g065543.1.1, Solyc01g014377.1.1, Solyc03g044837.1.1, Solyc04g064805.1.1, Solyc04g049075.1.1, Solyc08g068717.1.1, Solyc04g007855.1.1, Solyc02g014547.1.1, Solyc02g062045.1.1, Solyc12g011233.1.1, Solyc10g084125.1.1, Solyc12g036485.1.1, Solyc05g005265.1.1, Solyc02g014035.1.1	ANN38811-RA
OG0000028	Solyc10g050513.1.1, Solyc04g073953.1.1, Solyc10g074824.1.1, Solyc09g150154.1.1, Solyc02g032663.1.1, Solyc10g050517.1.1, Solyc01g020353.1.1	ANN03551-RA
OG0000031	Solyc03g114610.1.1, Solyc07g005770.2.1, Solyc06g082570.3.1	ANN21800-RA
OG0000034	Solyc09g061830.1.1	ANN15164-RA, ANN36178-RA, ANN13479-RA, ANN20787-RA, ANN09389-RA, ANN26428-RA, ANN09550-RA, ANN17355-RA, ANN03794-RA, ANN24147-RA, ANN03985-RA
OG0000036	Solyc08g022137.1.1	ANN35896-RA, ANN17497-RA, ANN15316-RA, ANN26744-RA, ANN09529-RA, ANN31644-RA, ANN29404-RA, ANN31627-RA
OG0000037	Solyc00g500005.1.1	ANN20135-RA
OG0000037	Solyc00g500390.1.1, Solyc08g150110.1.1, Solyc12g082767.1.1, Solyc00g500008.1.1, Solyc11g051171.1.1, Solyc00g500010.1.1	ANN17252-RA
OG0000037	Solyc03g046593.1.1	ANN23946-RA
OG0000037	Solyc06g010140.1.1, Solyc00g500369.1.1, Solyc00g500371.1.1	ANN35557-RA
OG0000037	Solyc00g500017.1.1, Solyc01g028980.1.1, Solyc06g010130.1.1	ANN13470-RA
OG0000037	Solyc02g005560.1.1, Solyc02g005570.1.1	ANN13466-RA
OG0000038	Solyc00g500159.1.1, Solyc03g046592.1.1, Solyc00g500006.1.1, Solyc00g500408.1.1, Solyc00g500014.1.1, Solyc00g500264.1.1, Solyc01g038231.1.1, Solyc00g500305.1.1, Solyc01g038236.1.1, Solyc12g082797.1.1, Solyc06g150106.1.1, Solyc00g005280.1.1, Solyc00g500179.1.1, Solyc12g082793.1.1, Solyc06g016680.1.1, Solyc12g082760.1.1, Solyc06g016725.1.1, Solyc02g005550.1.1, Solyc12g082780.1.1, Solyc01g038234.1.1, Solyc06g016685.1.1, Solyc06g011662.1.1, Solyc12g026380.2.1, Solyc12g082765.1.1, Solyc12g026370.2.1, Solyc00g500018.1.1, Solyc01g038233.1.1, Solyc11g051173.1.1, Solyc08g016790.1.1, Solyc00g500289.1.1, Solyc00g500407.1.1, Solyc00g500398.1.1, Solyc00g500011.1.1, Solyc00g500013.1.1, Solyc00g500177.1.1	ANN13493-RA
OG0000040	Solyc09g009173.1.1, Solyc02g014876.1.1, Solyc04g011333.1.1, Solyc08g069238.1.1, Solyc11g073315.1.1, Solyc09g004000.1.1, Solyc12g150102.1.1, Solyc05g006605.1.1, Solyc04g075018.1.1, Solyc00g500377.1.1, Solyc06g150122.1.1, Solyc09g005135.1.1, Solyc01g009305.1.1, Solyc10g150100.1.1, Solyc01g008473.1.1, Solyc00g500269.1.1, Solyc04g150100.1.1, Solyc01g150105.1.1, Solyc05g053133.1.1, Solyc08g069236.1.1, Solyc07g007335.1.1, Solyc10g080782.1.1, Solyc05g021405.1.1, Solyc10g086783.1.1, Solyc00g500387.1.1, Solyc01g008479.1.1, Solyc03g006718.1.1, Solyc04g004005.1.1, Solyc03g097880.1.1, Solyc07g051800.3.1, Solyc03g006365.1.1, Solyc01g008475.1.1, Solyc04g075014.1.1, Solyc03g005395.1.1, Solyc00g500366.1.1, Solyc01g004002.1.1, Solyc01g004000.1.1, Solyc03g061657.1.1, Solyc04g005210.3.1, Solyc03g033295.1.1, Solyc05g053137.1.1, Solyc05g150105.1.1, Solyc05g007245.1.1, Solyc02g014871.1.1, Solyc04g075012.1.1, Solyc00g500385.1.1, Solyc01g004006.1.1, Solyc04g004000.1.1, Solyc10g086785.1.1, Solyc08g007715.1.1, Solyc03g006712.1.1, Solyc03g004007.1.1, Solyc08g004005.1.1, Solyc03g026418.1.1, Solyc12g150100.1.1, Solyc01g150104.1.1, Solyc12g098827.1.1, Solyc01g150107.1.1, Solyc12g098823.1.1, Solyc03g006714.1.1, Solyc12g150128.1.1, Solyc05g004003.1.1, Solyc01g004008.1.1, Solyc09g009587.1.1, Solyc01g008477.1.1, Solyc03g006907.1.1, Solyc03g005393.1.1, Solyc04g064958.1.1, Solyc00g500379.1.1, Solyc05g021415.1.1, Solyc06g004005.1.1, Solyc09g098604.1.1, Solyc11g004005.1.1, Solyc00g500283.1.1, Solyc05g004007.1.1, Solyc09g098603.1.1, Solyc03g006715.2.1, Solyc12g100363.1.1, Solyc03g124061.1.1, Solyc05g021410.3.1, Solyc11g004000.1.1, Solyc00g500367.1.1, Solyc10g086787.1.1, Solyc09g098605.1.1, Solyc09g098606.1.1, Solyc12g100367.1.1, Solyc00g500246.1.1, Solyc09g098607.1.1, Solyc00g500282.1.1, Solyc00g500356.1.1, Solyc00g500122.1.1, Solyc00g500180.1.1, Solyc00g500121.1.1, Solyc09g098608.1.1, Solyc00g500120.1.1, Solyc06g004000.1.1, Solyc03g061653.1.1	ANN18308-RA
OG0000041	Solyc07g017255.1.1, Solyc09g090875.1.1	ANN27140-RA
OG0000041	Solyc11g045435.1.1	ANN29934-RA, ANN24064-RA, ANN15594-RA, ANN20246-RA, ANN03441-RA, ANN09483-RA, ANN36131-RA, ANN17819-RA, ANN23351-RA, ANN32402-RA, ANN35714-RA, ANN08615-RA, ANN06073-RA, ANN35149-RA, ANN16364-RA, ANN17241-RA, ANN03221-RA, ANN20734-RA, ANN06438-RA, ANN34439-RA, ANN20248-RA, ANN03259-RA, ANN37173-RA, ANN20736-RA, ANN05710-RA, ANN17449-RA, ANN35873-RA, ANN23568-RA, ANN02156-RA, ANN29815-RA, ANN09288-RA, ANN17820-RA, ANN35418-RA, ANN01737-RA, ANN03695-RA, ANN09899-RA, ANN34330-RA, ANN06187-RA, ANN32368-RA, ANN06074-RA, ANN20245-RA, ANN31945-RA, ANN16016-RA, ANN03232-RA, ANN36220-RA, ANN39205-RA, ANN39300-RA, ANN34438-RA, ANN09897-RA, ANN35417-RA, ANN32372-RA, ANN01729-RA, ANN35430-RA, ANN31249-RA, ANN20686-RA, ANN32399-RA, ANN17287-RA, ANN35151-RA, ANN26401-RA, ANN24066-RA, ANN31292-RA, ANN24728-RA, ANN02909-RA, ANN35432-RA, ANN03233-RA, ANN28748-RA, ANN21299-RA, ANN34427-RA, ANN10690-RA, ANN06075-RA, ANN03258-RA, ANN06160-RA, ANN32400-RA, ANN33970-RA, ANN09482-RA, ANN23567-RA, ANN35185-RA
OG0000044	Solyc11g150120.1.1, Solyc11g030555.1.1	ANN32115-RA
OG0000044	Solyc11g020365.1.1, Solyc11g061817.1.1, Solyc11g150124.1.1, Solyc11g150118.1.1, Solyc11g027937.1.1, Solyc11g061890.3.1	ANN32116-RA
OG0000044	Solyc08g061710.3.1, Solyc11g020360.3.1, Solyc11g020500.3.1, Solyc11g020520.3.1, Solyc08g061720.1.1, Solyc08g061780.3.1, Solyc11g028210.1.1, Solyc08g061750.1.1, Solyc11g020420.1.1, Solyc11g020370.1.1, Solyc11g020510.1.1, Solyc08g061740.3.1, Solyc11g020390.1.1, Solyc11g020430.3.1, Solyc11g061920.3.1	ANN31948-RA
OG0000044	Solyc08g061770.1.1	ANN32026-RA
OG0000044	Solyc08g061730.3.1, Solyc11g019870.3.1, Solyc11g061880.1.1, Solyc11g063700.1.1, Solyc11g063680.1.1, Solyc11g061835.1.1, Solyc11g063650.1.1, Solyc11g063460.2.1, Solyc11g061850.1.1, Solyc11g061790.1.1, Solyc11g061910.1.1	ANN32027-RA
OG0000044	Solyc11g150108.1.1	ANN37258-RA
OG0000047	Solyc11g044370.1.1	ANN28780-RA
OG0000050	Solyc05g043290.1.1	ANN38708-RA, ANN25863-RA, ANN31875-RA, ANN35524-RA, ANN35407-RA, ANN05879-RA, ANN36563-RA, ANN17254-RA, ANN20459-RA, ANN35467-RA, ANN21376-RA, ANN17379-RA, ANN39780-RA, ANN09888-RA, ANN05883-RA, ANN23829-RA, ANN16349-RA, ANN31893-RA, ANN16970-RA, ANN10311-RA, ANN13697-RA, ANN17302-RA, ANN03117-RA, ANN09978-RA, ANN38366-RA, ANN21287-RA, ANN35353-RA, ANN35540-RA, ANN29811-RA, ANN21304-RA, ANN31691-RA, ANN21313-RA, ANN17848-RA, ANN13747-RA, ANN35853-RA, ANN03253-RA, ANN39379-RA, ANN36177-RA, ANN13527-RA, ANN09596-RA, ANN23525-RA, ANN31956-RA, ANN17137-RA, ANN17222-RA, ANN15213-RA, ANN29647-RA, ANN25842-RA, ANN35267-RA, ANN17264-RA, ANN35723-RA, ANN35366-RA, ANN02938-RA, ANN09668-RA, ANN21043-RA, ANN13428-RA, ANN39055-RA, ANN20884-RA, ANN37047-RA, ANN20473-RA, ANN24419-RA, ANN36150-RA, ANN03064-RA, ANN37322-RA, ANN39285-RA, ANN09804-RA, ANN23631-RA, ANN39817-RA
OG0000054	Solyc09g018805.1.1	ANN09316-RA, ANN37149-RA, ANN36291-RA, ANN17300-RA, ANN17200-RA, ANN06363-RA, ANN15367-RA, ANN15228-RA, ANN05872-RA, ANN24323-RA, ANN34059-RA, ANN34049-RA, ANN40038-RA, ANN05501-RA, ANN05123-RA, ANN29102-RA, ANN02648-RA, ANN06364-RA, ANN36621-RA, ANN36292-RA, ANN02410-RA, ANN02295-RA, ANN37399-RA, ANN37443-RA, ANN17199-RA, ANN29211-RA, ANN31533-RA, ANN08990-RA, ANN05420-RA, ANN22995-RA, ANN09676-RA, ANN02281-RA, ANN17171-RA, ANN39685-RA, ANN39789-RA, ANN34050-RA, ANN20784-RA, ANN02409-RA, ANN02901-RA, ANN14586-RA, ANN09317-RA, ANN05122-RA, ANN37150-RA, ANN35336-RA, ANN03200-RA, ANN31335-RA, ANN24466-RA, ANN26111-RA, ANN30064-RA, ANN29103-RA, ANN29104-RA, ANN02291-RA, ANN26112-RA, ANN17011-RA, ANN05128-RA, ANN20857-RA, ANN05421-RA, ANN37151-RA, ANN36316-RA, ANN35128-RA, ANN15366-RA, ANN09938-RA, ANN31840-RA, ANN21155-RA, ANN09478-RA, ANN17430-RA, ANN35107-RA, ANN02900-RA, ANN09674-RA, ANN36383-RA, ANN37802-RA, ANN05604-RA, ANN05607-RA, ANN05612-RA, ANN30066-RA
OG0000058	Solyc07g017905.1.1	ANN35932-RA, ANN34347-RA, ANN15743-RA, ANN09161-RA, ANN39596-RA, ANN32206-RA, ANN35171-RA, ANN35449-RA, ANN12772-RA, ANN32323-RA, ANN39048-RA, ANN31689-RA, ANN16240-RA, ANN39593-RA, ANN20279-RA, ANN12989-RA, ANN38370-RA, ANN37588-RA, ANN35743-RA, ANN17237-RA, ANN40167-RA, ANN39758-RA, ANN39851-RA, ANN39635-RA, ANN40032-RA, ANN39843-RA, ANN39589-RA, ANN39641-RA, ANN39858-RA, ANN21431-RA, ANN15066-RA, ANN02509-RA, ANN15862-RA, ANN29036-RA, ANN39561-RA, ANN39059-RA, ANN39087-RA, ANN35421-RA, ANN14730-RA, ANN37845-RA, ANN17584-RA
OG0000062	Solyc04g150124.1.1	ANN27099-RA, ANN24867-RA, ANN28800-RA, ANN05802-RA, ANN39859-RA, ANN05246-RA, ANN13024-RA, ANN39139-RA, ANN16307-RA, ANN28760-RA, ANN02245-RA, ANN29099-RA, ANN02657-RA, ANN40101-RA, ANN40031-RA, ANN40011-RA, ANN29985-RA, ANN17727-RA, ANN17625-RA, ANN21775-RA, ANN38693-RA, ANN38703-RA, ANN31137-RA, ANN33006-RA, ANN26828-RA, ANN26717-RA, ANN10641-RA, ANN18283-RA, ANN36391-RA, ANN36402-RA, ANN26731-RA, ANN17631-RA, ANN28306-RA, ANN29883-RA, ANN32275-RA, ANN00136-RA, ANN36376-RA, ANN16953-RA, ANN09490-RA, ANN12710-RA, ANN10449-RA, ANN31002-RA, ANN17660-RA, ANN23208-RA, ANN27289-RA, ANN20817-RA
OG0000066	Solyc07g009400.1.1	ANN35862-RA
OG0000067	Solyc11g051123.1.1	ANN20700-RA, ANN37679-RA, ANN38533-RA, ANN31669-RA, ANN37998-RA, ANN20798-RA, ANN15787-RA, ANN21517-RA, ANN36830-RA, ANN14807-RA, ANN34722-RA, ANN17673-RA, ANN03058-RA, ANN23810-RA, ANN39619-RA, ANN20188-RA, ANN02441-RA, ANN10133-RA, ANN04196-RA, ANN28732-RA, ANN39774-RA, ANN34223-RA, ANN38492-RA, ANN38776-RA, ANN39230-RA, ANN38608-RA, ANN31571-RA, ANN31187-RA, ANN37922-RA, ANN38105-RA, ANN39096-RA, ANN37840-RA, ANN23231-RA, ANN39298-RA, ANN38833-RA, ANN02265-RA, ANN02198-RA, ANN16911-RA, ANN33751-RA, ANN29096-RA, ANN35601-RA, ANN38639-RA, ANN02822-RA, ANN02323-RA, ANN38942-RA, ANN17626-RA, ANN03417-RA, ANN02435-RA, ANN26431-RA, ANN29280-RA, ANN02421-RA, ANN36326-RA, ANN05475-RA, ANN39550-RA, ANN32407-RA, ANN05137-RA, ANN05241-RA, ANN37903-RA, ANN04487-RA, ANN31591-RA, ANN22893-RA, ANN26399-RA, ANN37662-RA, ANN06267-RA, ANN03510-RA, ANN22949-RA, ANN02260-RA, ANN39231-RA
OG0000068	Solyc07g042400.2.1	ANN09282-RA
OG0000072	Solyc01g057853.1.1	ANN23145-RA, ANN18541-RA, ANN38449-RA, ANN29392-RA, ANN23125-RA, ANN26800-RA, ANN25669-RA, ANN15757-RA, ANN02528-RA, ANN17618-RA, ANN26801-RA
OG0000072	Solyc06g033787.1.1	ANN03112-RA
OG0000072	Solyc06g048705.1.1	ANN38988-RA, ANN34260-RA, ANN29064-RA
OG0000073	Solyc12g040535.1.1	ANN05235-RA, ANN13222-RA, ANN38353-RA, ANN25915-RA, ANN09264-RA, ANN20915-RA, ANN21633-RA, ANN21762-RA, ANN04141-RA, ANN31412-RA, ANN25999-RA, ANN17851-RA, ANN15329-RA, ANN04975-RA, ANN05270-RA, ANN04160-RA, ANN04078-RA, ANN23950-RA, ANN28613-RA, ANN14775-RA, ANN26726-RA, ANN21802-RA, ANN15807-RA, ANN36484-RA, ANN36520-RA, ANN36882-RA, ANN36890-RA, ANN28568-RA, ANN32364-RA, ANN38568-RA, ANN18341-RA, ANN05720-RA, ANN08672-RA, ANN26663-RA, ANN26553-RA, ANN23171-RA, ANN29461-RA, ANN37591-RA, ANN31734-RA
OG0000074	Solyc00g500147.1.1, Solyc09g061465.1.1, Solyc04g050840.1.1, Solyc00g500046.1.1, Solyc00g500327.1.1, Solyc00g500128.1.1, Solyc00g500037.1.1, Solyc00g500198.1.1, Solyc00g500081.1.1, Solyc01g017130.1.1, Solyc02g014780.1.1, Solyc09g031840.1.1, Solyc03g080130.1.1, Solyc11g021063.1.1, Solyc02g014800.2.1, Solyc10g018990.3.1, Solyc09g031810.2.1, Solyc04g024550.1.1, Solyc12g035760.1.1, Solyc00g500149.1.1, Solyc02g014820.1.1, Solyc04g026320.1.1, Solyc02g011960.1.1, Solyc12g035990.1.1, Solyc11g011430.1.1, Solyc12g035980.1.1, Solyc12g035780.1.1, Solyc03g078010.1.1, Solyc01g017410.3.1, Solyc02g011950.1.1, Solyc12g035770.1.1, Solyc08g062850.2.1, Solyc01g020510.1.1, Solyc01g017110.2.1, Solyc10g018980.3.1, Solyc08g045620.1.1, Solyc00g500148.1.1, Solyc04g024540.1.1, Solyc12g035790.2.1, Solyc09g031830.1.1, Solyc06g074590.2.1, Solyc04g050850.3.1, Solyc06g051370.1.1, Solyc09g031820.1.1, Solyc02g011940.3.1, Solyc03g120370.1.1, Solyc12g035970.1.1, Solyc12g035960.1.1, Solyc03g020090.1.1, Solyc09g031800.1.1, Solyc01g017060.2.1, Solyc05g026320.1.1, Solyc12g036000.1.1, Solyc04g024560.3.1, Solyc10g012230.1.1, Solyc06g048990.1.1, Solyc02g011970.1.1, Solyc01g056460.1.1, Solyc01g017070.1.1, Solyc11g066570.1.1, Solyc03g020100.2.1, Solyc04g026310.1.1	ANN08578-RA
OG0000078	Solyc08g067765.1.1	ANN33745-RA, ANN36185-RA
OG0000078	Solyc08g066927.1.1, Solyc08g014612.1.1, Solyc12g040575.1.1, Solyc09g020017.1.1, Solyc01g016725.1.1, Solyc03g096307.1.1, Solyc01g028875.1.1, Solyc12g042215.1.1, Solyc02g005604.1.1, Solyc12g077395.1.1, Solyc10g047828.1.1, Solyc02g077865.1.1, Solyc03g096437.1.1, Solyc01g066065.1.1, Solyc05g018407.1.1, Solyc02g005335.1.1, Solyc02g050263.1.1, Solyc08g083385.1.1, Solyc02g031985.1.1, Solyc01g067403.1.1, Solyc05g051385.1.1, Solyc10g076435.1.1, Solyc07g018027.1.1, Solyc04g055225.1.1, Solyc05g008495.1.1, Solyc06g066853.1.1, Solyc07g041215.1.1, Solyc06g048943.1.1, Solyc11g044325.1.1, Solyc06g072695.1.1, Solyc03g083965.1.1, Solyc07g055577.1.1, Solyc12g062203.1.1, Solyc10g018777.1.1, Solyc06g062445.1.1, Solyc05g050887.1.1, Solyc12g005615.1.1, Solyc12g042845.1.1, Solyc10g045437.1.1, Solyc07g061895.1.1, Solyc02g090397.1.1, Solyc05g006325.1.1, Solyc07g052365.1.1, Solyc02g082125.1.1, Solyc10g085205.1.1, Solyc07g051887.1.1, Solyc07g062345.1.1, Solyc09g042725.1.1, Solyc10g049585.1.1, Solyc10g076565.1.1, Solyc04g054735.1.1, Solyc04g011965.1.1, Solyc03g082845.1.1, Solyc07g015873.1.1, Solyc07g009477.1.1, Solyc10g051255.1.1	ANN21238-RA
OG0000080	Solyc05g150116.1.1	ANN16123-RA
OG0000081	Solyc12g027655.1.1, Solyc03g150139.1.1, Solyc07g049567.1.1, Solyc12g042005.1.1, Solyc04g054252.1.1, Solyc11g067345.1.1, Solyc03g079883.1.1, Solyc05g150108.1.1, Solyc02g037545.1.1, Solyc09g056397.1.1, Solyc06g048947.1.1, Solyc07g150118.1.1, Solyc07g055573.1.1, Solyc01g011356.1.1, Solyc11g061755.1.1, Solyc03g112465.1.1, Solyc03g044668.1.1, Solyc11g150135.1.1, Solyc12g009535.1.1, Solyc06g006015.1.1, Solyc11g030553.1.1, Solyc09g061545.1.1	ANN05828-RA
OG0000085	Solyc02g065257.1.1	ANN38133-RA, ANN08402-RA, ANN06827-RA, ANN13655-RA, ANN13421-RA, ANN27088-RA, ANN07047-RA, ANN18165-RA, ANN40196-RA, ANN39958-RA, ANN39976-RA, ANN40048-RA, ANN39841-RA, ANN18330-RA, ANN29980-RA, ANN39911-RA, ANN21850-RA, ANN31663-RA, ANN17846-RA, ANN36920-RA, ANN24486-RA, ANN17729-RA, ANN40097-RA, ANN01069-RA, ANN18329-RA, ANN28999-RA, ANN03050-RA, ANN13115-RA, ANN14804-RA, ANN35240-RA, ANN03465-RA, ANN23030-RA, ANN21412-RA, ANN16202-RA, ANN40099-RA, ANN37714-RA, ANN00784-RA, ANN09158-RA, ANN17128-RA, ANN33904-RA
OG0000088	Solyc12g011085.1.1, Solyc06g035495.1.1, Solyc12g015927.1.1, Solyc07g045125.1.1, Solyc10g018325.1.1, Solyc11g150134.1.1, Solyc04g150114.1.1, Solyc10g076405.1.1, Solyc01g108235.1.1, Solyc10g074475.1.1, Solyc09g074575.1.1, Solyc05g015493.1.1, Solyc03g150131.1.1, Solyc07g019625.1.1, Solyc05g044555.1.1, Solyc11g039765.1.1, Solyc09g150145.1.1, Solyc10g048005.1.1, Solyc07g041683.1.1, Solyc09g064245.1.1, Solyc06g066345.1.1, Solyc01g109125.1.1, Solyc09g059742.1.1, Solyc08g074655.1.1, Solyc09g083165.1.1, Solyc11g150113.1.1, Solyc11g020475.1.1, Solyc01g065625.1.1, Solyc05g011883.1.1, Solyc04g007295.1.1, Solyc10g047653.1.1, Solyc08g062725.1.1, Solyc02g150125.1.1, Solyc06g060105.1.1, Solyc08g067127.1.1, Solyc09g011645.1.1, Solyc09g056233.1.1, Solyc08g067025.1.1, Solyc07g052813.1.1, Solyc12g044435.1.1, Solyc11g018623.1.1, Solyc07g042515.1.1, Solyc03g044024.1.1, Solyc06g060735.1.1, Solyc10g076415.1.1, Solyc09g015453.1.1, Solyc02g038723.1.1, Solyc10g018203.1.1, Solyc00g500094.1.1, Solyc00g500354.1.1, Solyc08g068713.1.1, Solyc11g045125.1.1, Solyc03g062835.1.1, Solyc03g098745.1.1, Solyc08g150116.1.1	ANN26780-RA
OG0000090	Solyc04g050250.1.1	ANN30469-RA
OG0000091	Solyc04g054227.1.1	ANN35361-RA, ANN27455-RA, ANN39549-RA, ANN39645-RA, ANN27252-RA, ANN15002-RA
OG0000091	Solyc04g050937.1.1	ANN26680-RA
OG0000099	Solyc04g014617.1.1, Solyc05g025605.1.1	ANN39250-RA
