Sample	command
S13_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S13_fastp.html --json /scratch/mgalland/temp/fastp/S13_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S13_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S13_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S13_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S13_R2_trimmed.fq.gz 
S14_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S14_fastp.html --json /scratch/mgalland/temp/fastp/S14_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S14_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S14_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S14_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S14_R2_trimmed.fq.gz 
S15_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S15_fastp.html --json /scratch/mgalland/temp/fastp/S15_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S15_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S15_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S15_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S15_R2_trimmed.fq.gz 
S16_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S16_fastp.html --json /scratch/mgalland/temp/fastp/S16_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S16_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S16_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S16_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S16_R2_trimmed.fq.gz 
S18_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S18_fastp.html --json /scratch/mgalland/temp/fastp/S18_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S18_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S18_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S18_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S18_R2_trimmed.fq.gz 
S19_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S19_fastp.html --json /scratch/mgalland/temp/fastp/S19_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S19_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S19_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S19_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S19_R2_trimmed.fq.gz 
S20_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S20_fastp.html --json /scratch/mgalland/temp/fastp/S20_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S20_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S20_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S20_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S20_R2_trimmed.fq.gz 
S21_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S21_fastp.html --json /scratch/mgalland/temp/fastp/S21_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S21_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S21_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S21_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S21_R2_trimmed.fq.gz 
S22_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S22_fastp.html --json /scratch/mgalland/temp/fastp/S22_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S22_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S22_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S22_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S22_R2_trimmed.fq.gz 
S23_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S23_fastp.html --json /scratch/mgalland/temp/fastp/S23_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S23_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S23_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S23_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S23_R2_trimmed.fq.gz 
S24_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S24_fastp.html --json /scratch/mgalland/temp/fastp/S24_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S24_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S24_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S24_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S24_R2_trimmed.fq.gz 
S25_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S25_fastp.html --json /scratch/mgalland/temp/fastp/S25_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S25_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S25_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S25_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S25_R2_trimmed.fq.gz 
S26_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S26_fastp.html --json /scratch/mgalland/temp/fastp/S26_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S26_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S26_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S26_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S26_R2_trimmed.fq.gz 
S27_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S27_fastp.html --json /scratch/mgalland/temp/fastp/S27_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S27_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S27_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S27_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S27_R2_trimmed.fq.gz 
S28_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S28_fastp.html --json /scratch/mgalland/temp/fastp/S28_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S28_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S28_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S28_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S28_R2_trimmed.fq.gz 
S29_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S29_fastp.html --json /scratch/mgalland/temp/fastp/S29_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S29_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S29_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S29_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S29_R2_trimmed.fq.gz 
S31_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S31_fastp.html --json /scratch/mgalland/temp/fastp/S31_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S31_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S31_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S31_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S31_R2_trimmed.fq.gz 
S33_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S33_fastp.html --json /scratch/mgalland/temp/fastp/S33_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S33_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S33_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S33_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S33_R2_trimmed.fq.gz 
S34_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S34_fastp.html --json /scratch/mgalland/temp/fastp/S34_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S34_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S34_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S34_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S34_R2_trimmed.fq.gz 
S35_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S35_fastp.html --json /scratch/mgalland/temp/fastp/S35_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S35_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S35_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S35_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S35_R2_trimmed.fq.gz 
