target_id	functional_annotation
Solyc00g006810	Peptidyl-prolyl cis-trans isomerase 
Solyc00g006820	Peptide transporter-like protein 
Solyc00g006830	No exine formation-1 
Solyc00g006840	Unknown Protein 
Solyc00g006850	Unknown Protein 
Solyc00g006860	Unknown Protein 
Solyc00g006870	Unknown Protein 
Solyc00g006880	Unknown Protein 
Solyc00g006890	Unknown Protein 
Solyc00g006900	Unknown Protein 
Solyc00g007000	Unknown Protein 
Solyc00g007010	Phosphatidylinositol phosphate 
Solyc00g007020	Tetratricopeptide repeat protein 5 
Solyc00g007030	Glutathione S-transferase 
Solyc00g007040	Glutathione-S-transferase 
Solyc00g007050	Unknown Protein 
Solyc00g007060	Serine/threonine kinase-like protein ABC1063 
Solyc00g007070	Heterogeneous nuclear ribonucleoprotein H1 
Solyc00g007080	Unknown Protein 
Solyc00g007090	Multi-pass transmembrane protein 
Solyc00g007100	Serine/threonine protein kinase 
Solyc00g007110	Epidermal growth factor receptor substrate 15 
Solyc00g007120	Calcium-binding EF hand family protein 
Solyc00g007130	Amino acid transporter family protein 
Solyc00g007140	Unknown Protein 
Solyc00g007150	Unknown Protein 
Solyc00g007160	Transposase 
Solyc00g007170	Unknown Protein 
Solyc00g007180	Gibberellin 3-beta-hydroxylase 
Solyc00g007190	Serine/threonine phosphatase family protein 
Solyc00g007200	MLO-like protein 3 
Solyc00g007210	Unknown Protein 
Solyc00g007220	Ring finger protein 
Solyc00g007230	Pol polyprotein 
Solyc00g007240	Retrovirus-related Pol polyprotein from transposon TNT 1-94 
Solyc00g007250	Pol polyprotein 
Solyc00g007260	Sentrin-specific protease 7 
Solyc00g007270	Translation initiation factor 
Solyc00g007290	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g007300	"Lrr,  resistance protein fragment"
Solyc00g007310	Unknown Protein 
Solyc00g007320	Unknown Protein 
Solyc00g007330	Unknown Protein 
Solyc00g007340	Unknown Protein 
Solyc00g007350	Zinc finger CCCH domain-containing protein 30 
Solyc00g007450	Zinc finger CCCH domain-containing protein 30 
Solyc00g007550	Unknown Protein 
Solyc00g007560	Serine/threonine-protein phosphatase 7 long form homolog 
Solyc00g007570	Polygalacturonase 
Solyc00g007580	Mutator-like transposase 
Solyc00g007590	Unknown Protein 
Solyc00g007600	Meiotic recombination protein DMC1 
Solyc00g007610	Unknown Protein 
Solyc00g007910	Unknown Protein 
Solyc00g007920	Unknown Protein 
Solyc00g007930	Unknown Protein 
Solyc00g007940	Unknown Protein 
Solyc00g007950	Unknown Protein 
Solyc00g007960	Unknown Protein 
Solyc00g007970	Unknown Protein 
Solyc00g007980	Unknown Protein 
Solyc00g007990	Unknown Protein 
Solyc00g008000	Unknown Protein 
Solyc00g008010	Unknown Protein 
Solyc00g008020	Unknown Protein 
Solyc00g008030	Unknown Protein 
Solyc00g008040	Unknown Protein 
Solyc00g008050	Unknown Protein 
Solyc00g008060	Unknown Protein 
Solyc00g008070	Unknown Protein 
Solyc00g008080	Unknown Protein 
Solyc00g008090	Unknown Protein 
Solyc00g008100	Unknown Protein 
Solyc00g008110	Unknown Protein 
Solyc00g008120	Unknown Protein 
Solyc00g008130	Unknown Protein 
Solyc00g008140	Unknown Protein 
Solyc00g008150	Unknown Protein 
Solyc00g008160	Unknown Protein 
Solyc00g008260	Unknown Protein 
Solyc00g008270	Unknown Protein 
Solyc00g008570	Unknown Protein 
Solyc00g008580	Unknown Protein 
Solyc00g008680	Calcium binding protein-like 
Solyc00g008690	Unknown Protein 
Solyc00g008800	Unknown Protein 
Solyc00g008900	Unknown Protein 
Solyc00g008910	Unknown Protein 
Solyc00g008920	Unknown Protein 
Solyc00g009020	Mitochondrial ATP synthase 
Solyc00g009030	"Solute carrier family 2, facilitated glucose transporter member 12 "
Solyc00g009040	Polyadenylate-binding protein 2 
Solyc00g009050	UPF0544 protein C5orf45 
Solyc00g009060	Hypoxanthine phosphoribosyltransferase 
Solyc00g009070	Unknown Protein 
Solyc00g009080	Unknown Protein 
Solyc00g009090	"Receptor like kinase, RLK"
Solyc00g009100	30S ribosomal protein S1-like 
Solyc00g009110	Inositol-1 4 5-trisphosphate 5-Phosphatase-like protein 
Solyc00g009120	Short-chain dehydrogenase/reductase family protein 
Solyc00g009130	Dehydrogenase/reductase SDR family member 12 
Solyc00g009140	Short-chain dehydrogenase/reductase SDR 
Solyc00g009240	Unknown Protein 
Solyc00g009440	Unknown Protein 
Solyc00g009540	Helicase-like protein 
Solyc00g009650	Unknown Protein 
Solyc00g009660	Unknown Protein 
Solyc00g009760	Cytochrome P450 monooxygenase 
Solyc00g009770	Unknown Protein 
Solyc00g009780	Unknown Protein 
Solyc00g009790	Unknown Protein 
Solyc00g009800	Unknown Protein 
Solyc00g010100	Unknown Protein 
Solyc00g010110	Unknown Protein 
Solyc00g010210	Polyprotein 
Solyc00g010410	Unknown Protein 
Solyc00g010420	Unknown Protein 
Solyc00g010520	Unknown Protein 
Solyc00g010530	Unknown Protein 
Solyc00g010540	Pol polyprotein 
Solyc00g010550	Unknown Protein 
Solyc00g010750	Guanylate binding protein 2 
Solyc00g010760	Helicase-like protein 
Solyc00g010770	Unknown Protein 
Solyc00g010780	Unknown Protein 
Solyc00g010790	Unknown Protein 
Solyc00g010810	Unknown Protein 
Solyc00g010930	Unknown Protein 
Solyc00g011130	Unknown Protein 
Solyc00g011140	Unknown Protein 
Solyc00g011150	Unknown Protein 
Solyc00g011160	Unknown Protein 
Solyc00g011170	Unknown Protein 
Solyc00g011180	Unknown Protein 
Solyc00g011310	Unknown Protein 
Solyc00g011550	B3 domain-containing protein At1g49475 
Solyc00g011560	E3 ubiquitin-protein ligase SINA-like 10 
Solyc00g011660	B3 domain-containing protein At1g49475 
Solyc00g011670	Unknown Protein 
Solyc00g011870	Phosphatase 1G 
Solyc00g011880	AIG2-like protein 
Solyc00g011890	Galactokinase like protein 
Solyc00g012090	Unknown Protein 
Solyc00g012310	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 
Solyc00g012430	Unknown Protein 
Solyc00g012440	TO54-2 
Solyc00g012540	Zinc finger CCCH domain-containing protein 6 
Solyc00g012640	DNA 
Solyc00g012650	Unknown Protein 
Solyc00g012660	F-box domain containing protein 
Solyc00g012670	Unknown Protein 
Solyc00g012680	D111/G-patch Zinc finger C2H2-type 
Solyc00g012690	Ovarian tumour otubain 
Solyc00g012700	Ovarian tumour otubain 
Solyc00g012800	Unknown Protein 
Solyc00g012900	Unknown Protein 
Solyc00g013000	Unknown Protein 
Solyc00g013100	Unknown Protein 
Solyc00g013110	Unknown Protein 
Solyc00g013120	Uncharacterized mitochondrial protein AtMg01330 
Solyc00g013130	NADH-quinone oxidoreductase subunit N 
Solyc00g013140	NADH dehydrogenase subunit 5 
Solyc00g013150	Unknown Protein 
Solyc00g013160	Unknown Protein 
Solyc00g013170	Unknown Protein 
Solyc00g013180	NADH-ubiquinone oxidoreductase chain 4 
Solyc00g013190	Unknown Protein 
Solyc00g013320	Unknown Protein 
Solyc00g013330	Unknown Protein 
Solyc00g013770	Unknown Protein 
Solyc00g014170	Unknown Protein 
Solyc00g014180	Unknown Protein 
Solyc00g014190	Unknown Protein 
Solyc00g014290	Unknown Protein 
Solyc00g014390	F-box family protein 
Solyc00g014790	Unknown Protein 
Solyc00g014800	Zinc-finger protein 1 
Solyc00g014810	Unknown Protein 
Solyc00g014820	Unknown Protein 
Solyc00g014830	NADH-quinone oxidoreductase subunit D 
Solyc00g014840	Unknown Protein 
Solyc00g014850	ORF86 
Solyc00g014860	Unknown Protein 
Solyc00g014960	F-box family protein 
Solyc00g014970	Helicase-like protein 
Solyc00g014980	Dihydroflavonol-4-reductase 
Solyc00g014990	Unknown Protein 
Solyc00g015000	DNA 
Solyc00g015600	Unknown Protein 
Solyc00g015610	Unknown Protein 
Solyc00g015720	Glycosyltransferase-like protein 
Solyc00g015730	RAMOSA1 C2H2 zinc-finger transcription factor 
Solyc00g015740	Reductase 2 
Solyc00g015750	Reductase 2 
Solyc00g015760	CHP-rich zinc finger protein-like 
Solyc00g015770	Aldo-keto reductase 
Solyc00g016470	Unknown Protein 
Solyc00g016480	HAT family dimerisation domain containing protein 
Solyc00g016490	F-box family protein 
Solyc00g016590	Unknown Protein 
Solyc00g016790	Unknown Protein 
Solyc00g016890	Unknown Protein 
Solyc00g016900	Unknown Protein 
Solyc00g016910	Unknown Protein 
Solyc00g017210	Actin 
Solyc00g017220	Phantastica transcription factor 
Solyc00g017230	Expansin 
Solyc00g017530	Gag-Pol polyprotein 
Solyc00g017540	Signal recognition particle 72 kDa protein homolog 
Solyc00g017550	Signal recognition particle 72 kDa protein homolog 
Solyc00g017750	Unknown Protein 
Solyc00g017760	Unknown Protein 
Solyc00g017860	Pyridine nucleotide-disulfide oxidoreductase 
Solyc00g017870	TonB family protein 
Solyc00g017880	DNA mismatch repair protein mutS 
Solyc00g017890	Conserved predicted inner membrane protein 
Solyc00g017900	tRNA/rRNA methyltransferase 
Solyc00g017910	ATP-NAD/AcoX kinase 
Solyc00g017920	Fructose-bisphosphate aldolase 
Solyc00g017930	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 
Solyc00g018760	Unknown Protein 
Solyc00g018770	F-box family protein 
Solyc00g018970	Unknown Protein 
Solyc00g019610	Unknown Protein 
Solyc00g019620	PDZ domain containing protein 
Solyc00g019630	Unknown Protein 
Solyc00g019730	Cytochrome c oxidase subunit 3 
Solyc00g019740	ATPase subunit 8 
Solyc00g019750	Unknown Protein 
Solyc00g019950	NADH-quinone oxidoreductase subunit C 
Solyc00g019960	Unknown Protein 
Solyc00g019970	Unknown Protein 
Solyc00g019980	Unknown Protein 
Solyc00g019990	Unknown Protein 
Solyc00g020000	Unknown Protein 
Solyc00g020010	Unknown Protein 
Solyc00g020020	Unknown Protein 
Solyc00g020030	Unknown Protein 
Solyc00g020040	Cytochrome c biogenesis 
Solyc00g020440	Unknown Protein 
Solyc00g020540	Aminotransferase-like protein 
Solyc00g020840	Ferric reductase 
Solyc00g020940	Cyclin-L1 
Solyc00g020950	Unknown Protein 
Solyc00g020960	Unknown Protein 
Solyc00g020970	RING finger protein 13 
Solyc00g020980	Unknown Protein 
Solyc00g020990	ADP-ribosylation factor-like 8B 
Solyc00g021490	Unknown Protein 
Solyc00g021500	DNA alkylation repair enzyme 
Solyc00g021510	Sodium/hydrogen exchanger 
Solyc00g021520	GTP-binding protein HflX 
Solyc00g021530	Calcineurin-like phosphoesterase 
Solyc00g021630	NADH-ubiquinone oxidoreductase chain 6 
Solyc00g021640	Ribosomal protein S4 
Solyc00g021650	Unknown Protein 
Solyc00g021660	Neutral invertase-like protein 
Solyc00g022070	Unknown Protein 
Solyc00g022080	Unknown Protein 
Solyc00g022090	Unknown Protein 
Solyc00g022100	Ribosomal protein L10 
Solyc00g022110	Ribosomal protein L2 
Solyc00g022920	Phosphoribosylaminoimidazole carboxylase like protein 
Solyc00g023020	Phosphoribosylaminoimidazole carboxylase ATPase subunit 
Solyc00g023030	CER1-like protein 
Solyc00g023040	CER1-like protein 
Solyc00g023050	CER1-like protein 
Solyc00g023250	Short-chain dehydrogenase/reductase family protein 
Solyc00g023260	ADP-ribosylation factor GTPase activating protein 1 
Solyc00g023270	Origin recognition complex subunit 2 
Solyc00g023470	Pectinesterase 
Solyc00g023570	Unknown Protein 
Solyc00g023580	Unknown Protein 
Solyc00g023590	Unknown Protein 
Solyc00g023600	Unknown Protein 
Solyc00g023700	Unknown Protein 
Solyc00g023710	Unknown Protein 
Solyc00g024010	FeS assembly SUF system protein 
Solyc00g024020	Hydroxymethylglutaryl-CoA lyase 
Solyc00g024030	Peptidase T 
Solyc00g024040	Thiamine-monophosphate kinase 
Solyc00g024050	Pyridine nucleotide-disulphide oxidoreductase 
Solyc00g024150	Pterin-4-alpha-carbinolamine dehydratase 
Solyc00g024160	ATP binding protein 
Solyc00g024170	Unknown Protein 
Solyc00g024370	Unknown Protein 
Solyc00g024570	F-box family protein 
Solyc00g024670	Beta-1-3-galactosyl-o-glycosyl-glycoprotein 
Solyc00g024680	Dof zinc finger protein 
Solyc00g024690	Dof zinc finger protein DOF2.4 
Solyc00g025290	Hypothetical protein 
Solyc00g025300	Unknown Protein 
Solyc00g025400	Unknown Protein 
Solyc00g025500	Transcriptional regulator GntR-family 
Solyc00g025510	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding 
Solyc00g025520	Unknown Protein 
Solyc00g025530	Class II aldolase/adducin family protein 
Solyc00g025540	Transcriptional regulator LysR family 
Solyc00g025650	Gag/pol polyprotein 
Solyc00g025660	Unknown Protein 
Solyc00g026160	Ferric reductase oxidase 
Solyc00g026860	Glutamate 5-kinase 
Solyc00g026870	GTPase obg 
Solyc00g026880	50S ribosomal protein L21 
Solyc00g026890	Unknown Protein 
Solyc00g026900	Unknown Protein 
Solyc00g027120	Mutator-like transposase 
Solyc00g027130	Sentrin-specific protease 2 
Solyc00g027140	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g027640	C17orf39 homolog 
Solyc00g027650	FHY1-3 
Solyc00g027660	WD-40 repeat family protein 
Solyc00g027670	WD-40 repeat family protein 
Solyc00g027770	Pectinesterase 
Solyc00g027870	Unknown Protein 
Solyc00g027970	Abhydrolase domain-containing protein FAM108B1 
Solyc00g027980	Esterase/lipase/thioesterase 
Solyc00g027990	Cellulose synthase-like protein 
Solyc00g028090	Type VI secretion-associated protein family 
Solyc00g028100	Unknown Protein 
Solyc00g028110	Rhs element Vgr protein 
Solyc00g028120	Rhs element Vgr protein 
Solyc00g028420	Unknown Protein 
Solyc00g028520	Unknown Protein 
Solyc00g028530	Unknown Protein 
Solyc00g028540	CoA ligase 
Solyc00g028550	Transcriptional regulator MarR-family 
Solyc00g028560	Extra-cytoplasmic Solute Receptor protein 
Solyc00g028760	Unknown Protein 
Solyc00g028960	Glutaredoxin family protein 
Solyc00g029060	Unknown Protein 
Solyc00g029070	Unknown Protein 
Solyc00g029080	DNA replication helicase Dna2 
Solyc00g029090	Unknown Protein 
Solyc00g029190	S-adenosyl-L-methionine salicylic acid carboxyl methyltransferase 
Solyc00g029290	High mobility group protein 
Solyc00g029300	Vacuolar sorting-associated protein 
Solyc00g029500	Unknown Protein 
Solyc00g029800	Unknown Protein 
Solyc00g030000	Cellulose synthase-4 
Solyc00g030100	Unknown Protein 
Solyc00g030110	Unknown Protein 
Solyc00g030210	Ribosomal RNA small subunit methyltransferase H 
Solyc00g030510	Polygalacturonase 
Solyc00g030520	Endoplasmic reticulum-Golgi intermediate compartment protein 3 
Solyc00g030820	Unknown Protein 
Solyc00g031020	Unknown Protein 
Solyc00g031030	2OG-Fe
Solyc00g031040	Adenosine deaminase 
Solyc00g031050	Major facilitator family transporter 
Solyc00g031060	Unknown Protein 
Solyc00g031360	D-serine dehydratase 
Solyc00g031370	Transcriptional regulator 
Solyc00g031380	Unknown Protein 
Solyc00g031390	Unknown Protein 
Solyc00g031490	Unknown Protein 
Solyc00g031500	Unknown Protein 
Solyc00g031700	Aldo/keto reductase 
Solyc00g031710	Unknown Protein 
Solyc00g031720	Copper-translocating P-type ATPase 
Solyc00g031730	Copper-exporting P-type ATPase A 
Solyc00g032030	E3 ubiquitin-protein ligase SINA-like 10 
Solyc00g032230	Unknown Protein 
Solyc00g032940	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g033460	S-adenosyl-L-methionine salicylic acid carboxyl methyltransferase 1 
Solyc00g033860	Ketohexokinase 
Solyc00g033870	Predicted CDS Pa_1_1990 
Solyc00g033880	Oxidoreductase NAD-binding domain-containing protein 1 
Solyc00g033890	Unknown Protein 
Solyc00g033990	Acetyltransferase 
Solyc00g034000	Permease of the major facilitator superfamily 
Solyc00g034010	Unknown Protein 
Solyc00g034810	Calcineurin B-like calcium binding protein 
Solyc00g035010	C2H2 finger domain-containing protein 
Solyc00g035020	Unknown Protein 
Solyc00g036320	ARID/BRIGHT DNA binding domain containing protein 
Solyc00g036520	Unknown Protein 
Solyc00g036530	Unknown Protein 
Solyc00g036540	50S ribosomal protein L2 chloroplastic 
Solyc00g036740	Unknown Protein 
Solyc00g036750	Unknown Protein 
Solyc00g036760	Proprotein convertase subtilisin/kexin type 5 
Solyc00g036960	Unknown Protein 
Solyc00g038390	Unknown Protein 
Solyc00g039290	Zinc-binding protein 
Solyc00g039990	TRNA nucleotidyltransferase 
Solyc00g040290	Transferase family protein 
Solyc00g040390	Hydroxycinnamoyl CoA quinate transferase 
Solyc00g040490	Unknown Protein 
Solyc00g041090	Vacuolar-processing enzyme 
Solyc00g041190	Acyl carrier protein 
Solyc00g041200	Unknown Protein 
Solyc00g041210	Tetratricopeptide TPR_2 repeat protein 
Solyc00g041220	UvrABC system protein B 
Solyc00g042120	Methyl-accepting chemotaxis sensory transducer 
Solyc00g042130	ATP synthase subunit alpha 
Solyc00g042140	ATP synthase subunit beta 
Solyc00g042640	Helicase-like protein 
Solyc00g042840	F-box domain containing protein 
Solyc00g042850	GDSL esterase/lipase 7 
Solyc00g044350	EPIDERMAL PATTERNING FACTOR-like protein 1 
Solyc00g044550	Unknown Protein 
Solyc00g044750	U1 small nuclear ribonucleoprotein A 
Solyc00g045570	Unknown Protein 
Solyc00g046570	Unknown Protein 
Solyc00g046580	Serine/threonine-protein phosphatase 7 long form homolog 
Solyc00g046980	Unknown Protein 
Solyc00g047180	Unknown Protein 
Solyc00g047190	Unknown Protein 
Solyc00g047200	Cytochrome b 
Solyc00g047700	Unknown Protein 
Solyc00g047810	Unknown Protein 
Solyc00g048410	Unknown Protein 
Solyc00g048510	Phloem lectin 
Solyc00g049210	Cytochrome c-type biogenesis protein CcmF 
Solyc00g049220	Unknown Protein 
Solyc00g049520	Unknown Protein 
Solyc00g049620	Unknown Protein 
Solyc00g049920	3-oxoacyl-reductase 
Solyc00g050020	Ribonuclease II 
Solyc00g050030	Shikimate 5-dehydrogenase 
Solyc00g050130	UDP-glucose glucosyltransferase 
Solyc00g050430	BHLH transcription factor 
Solyc00g052430	Cytochrome c biogenesis FC 
Solyc00g052530	Unknown Protein 
Solyc00g052540	Unknown Protein 
Solyc00g052940	Nodulin-like protein 
Solyc00g053440	Transmembrane BAX inhibitor motif-containing protein 4 
Solyc00g053740	ARID/BRIGHT DNA-binding domain-containing protein 
Solyc00g055940	Secreted repeat protein 
Solyc00g055950	Response regulator receiver Transcriptional regulatory protein 
Solyc00g055960	Sensor histidine kinase PhoR 
Solyc00g055970	Unknown Protein 
Solyc00g055980	Unknown Protein 
Solyc00g056180	Unknown Protein 
Solyc00g056680	Lipase-like protein 
Solyc00g057280	B3 domain-containing protein Os02g0598200 
Solyc00g057880	Unknown Protein 
Solyc00g058280	Unknown Protein 
Solyc00g058480	Paired amphipathic helix protein Sin3-like 1 
Solyc00g058490	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g058890	Unknown Protein 
Solyc00g058900	GDSL esterase/lipase At2g31540 
Solyc00g059100	WD-repeat protein-like 
Solyc00g059500	CDP-alcohol phosphatidyltransferase 
Solyc00g060700	Mg chelatase subunit ChlI 
Solyc00g060710	Mg chelatase subunit ChlI 
Solyc00g060810	Major latex-like protein 
Solyc00g062710	Unknown Protein 
Solyc00g063110	Non-specific lipid-transfer protein 
Solyc00g063510	Fasciculation and elongation protein zeta-2 
Solyc00g065510	Palmitoyltransferase swf1 
Solyc00g065610	Unknown Protein 
Solyc00g065620	Unknown Protein 
Solyc00g065630	Pre-mRNA-processing protein 45 
Solyc00g065930	Peptidase family S46 dipeptidyl-peptidase 7 
Solyc00g065940	Unknown Protein 
Solyc00g066140	YdiU protein 
Solyc00g066150	Penicillin-binding protein 1A 
Solyc00g066350	Serine/threonine-protein phosphatase 7 long form homolog 
Solyc00g066360	Serine/threonine-protein phosphatase 7 long form homolog 
Solyc00g066370	Unknown Protein 
Solyc00g067470	Unknown Protein 
Solyc00g068970	Cytochrome P450 like_TBP 
Solyc00g068980	Unknown Protein 
Solyc00g069680	Unknown Protein 
Solyc00g069880	Unknown Protein 
Solyc00g070680	Unknown Protein 
Solyc00g071180	Cysteine proteinase inhibitor 
Solyc00g071580	Unknown Protein 
Solyc00g071590	TBC1 domain family member 3 
Solyc00g071600	GTPase activating protein 
Solyc00g072100	LTRGag-pol-polymerase 3 
Solyc00g072400	Peroxidase 1 
Solyc00g072800	Unknown Protein 
Solyc00g073200	Transposon protein-like 
Solyc00g073900	Unknown Protein 
Solyc00g073910	Unknown Protein 
Solyc00g074210	Mitochondrial import inner membrane translocase subunit TIM16 
Solyc00g074810	DNA processing protein DprA 
Solyc00g074820	Unknown Protein 
Solyc00g074830	FeS assembly protein SufD 
Solyc00g075030	Gag polyprotein 
Solyc00g075040	Transposon Ty1-A Gag-Pol polyprotein 
Solyc00g075440	Unknown Protein 
Solyc00g075450	Unknown Protein 
Solyc00g076250	Unknown Protein 
Solyc00g079050	Unknown Protein 
Solyc00g080550	Unknown Protein 
Solyc00g080750	Unknown Protein 
Solyc00g082150	Kinesin light chain 
Solyc00g082550	Unknown Protein 
Solyc00g084650	Unknown Protein 
Solyc00g084750	Pentatricopeptide repeat-containing protein 
Solyc00g084760	RNase H family protein 
Solyc00g084770	Transposase 
Solyc00g084870	TCP family transcription factor 
Solyc00g085070	Squalene monooxygenase 
Solyc00g085370	Unknown Protein 
Solyc00g085770	Unknown Protein 
Solyc00g085780	Unknown Protein 
Solyc00g088080	Adenine phosphoribosyltransferase 
Solyc00g088090	Conserved hypothetical membrane protein 
Solyc00g088190	Phosphoribosylaminoimidazole carboxylase ATPase subunit 
Solyc00g088200	Unknown Protein 
Solyc00g088210	Major facilitator superfamily transporter 
Solyc00g090110	UDP-3-O- 
Solyc00g090120	Unknown Protein 
Solyc00g090130	Protein translocase subunit secA 
Solyc00g090430	Os08g0100600 protein 
Solyc00g090630	Membrane transporter 
Solyc00g090640	Membrane transporter 
Solyc00g090650	Membrane transporter 
Solyc00g090660	Unknown Protein 
Solyc00g090860	Nitrate transporter 
Solyc00g090870	5-AMP-activated protein kinase subunit beta-1 
Solyc00g091170	ATP binding protein 
Solyc00g092870	Unknown Protein 
Solyc00g092880	Unknown Protein 
Solyc00g092890	Unknown Protein 
Solyc00g092900	Unknown Protein 
Solyc00g093000	Unknown Protein 
Solyc00g093100	Multidrug and toxin extrusion protein 2 
Solyc00g093300	Transposase 
Solyc00g093310	Unknown Protein 
Solyc00g094010	Virulence VirF2 protein 
Solyc00g094020	Replication protein C 
Solyc00g094520	Unknown Protein 
Solyc00g094530	NADH-ubiquinone oxidoreductase chain 1 
Solyc00g094540	Unknown Protein 
Solyc00g094550	Unknown Protein 
Solyc00g094850	Unknown Protein 
Solyc00g095450	Ankyrin repeat-containing protein 
Solyc00g095460	Isoflavone reductase family protein 
Solyc00g095760	1-aminocyclopropane-1-carboxylate synthase 
Solyc00g095860	1-aminocyclopropane-1-carboxylate synthase 
Solyc00g096060	Ectonucleoside triphosphate diphosphohydrolase 6 
Solyc00g096460	AT4G08310 protein 
Solyc00g097260	Unknown Protein 
Solyc00g097760	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g097960	Unknown Protein 
Solyc00g098560	GDSL esterase/lipase At5g03980 
Solyc00g099160	Unknown Protein 
Solyc00g099460	Unknown Protein 
Solyc00g099470	Predicted CDS Pa_2_8820 
Solyc00g099570	Oligoendopeptidase F homolog 
Solyc00g099580	Gamma-glutamyltranspeptidase 
Solyc00g099880	Unknown Protein 
Solyc00g100880	GTP binding protein 
Solyc00g101700	Protein kinase 
Solyc00g102000	Unknown Protein 
Solyc00g102400	"Cc-nbs-lrr, resistance protein"
Solyc00g104200	Nucleoid occlusion protein 
Solyc00g104210	Possible replication protein A 
Solyc00g104310	Unknown Protein 
Solyc00g104320	Unknown Protein 
Solyc00g104330	Unknown Protein 
Solyc00g104630	D-xylulose kinase 
Solyc00g104730	Endopolygalacturonase 
Solyc00g104740	Essential cytoplasmic protein Ctr86 
Solyc00g104940	Bax inhibitor-1 like 
Solyc00g105340	Genomic DNA chromosome 5 P1 clone MRD20 
Solyc00g105350	Mutator-like transposase-like 
Solyc00g105750	Mutator-like transposase 
Solyc00g106650	BZIP transcription factor family protein expressed 
Solyc00g107050	Nuclear transcription factor Y subunit C-1 
Solyc00g107550	Unknown Protein 
Solyc00g108550	Unknown Protein 
Solyc00g109450	Unknown Protein 
Solyc00g109850	Unknown Protein 
Solyc00g109860	Unknown Protein 
Solyc00g110060	Unknown Protein 
Solyc00g110070	C2H2 finger domain-containing protein 
Solyc00g110370	Unknown Protein 
Solyc00g110870	"Receptor like kinase, RLK"
Solyc00g111170	Unknown Protein 
Solyc00g111270	Unknown Protein 
Solyc00g111370	Unknown Protein 
Solyc00g111770	Unknown Protein 
Solyc00g111780	Unknown Protein 
Solyc00g112180	Unknown Protein 
Solyc00g112190	Unknown Protein 
Solyc00g112490	Hemagglutinin-related autotransporter protein 
Solyc00g112500	Outer membrane autotransporter barrel domain protein 
Solyc00g112600	Sugar transport protein 2 
Solyc00g112700	Unknown Protein 
Solyc00g112710	Unknown Protein 
Solyc00g112810	V-type H
Solyc00g112820	Unknown Protein 
Solyc00g112830	Short-chain dehydrogenase/reductase SDR 
Solyc00g112930	Alpha-N-acetylglucosaminidase 
Solyc00g113230	Unknown Protein 
Solyc00g113330	Unknown Protein 
