"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CV"	"F1"	"F1_hab"	"F2_127"	"F2_151"	"F2_28"	"F2_411"	"F2_445"	"F2_73"	"PI127826"
"Solyc09g092590"	"Cytochrome P450"	62.414589286538	-0.607342952282133	0.791466649419115	-0.767363922065299	0.442865172701392	0.793701834196524	9	45	30	78	34	49	144	16	172	41
"Solyc08g076250"	"Cytochrome P450"	2527.55913424132	-0.859605083821548	1.1767244260691	-0.73050670554456	0.465080515684614	0.808788813972548	14	2414	4326	82	303	447	6009	468	3284	9190
"Solyc03g111290"	"Cytochrome P450"	836.416929990303	-0.467378729994808	0.646253274364192	-0.723212939160165	0.469549070570307	0.811170343709717	2014	847	1088	509	407	924	100	449	1792	501
"Solyc10g078240"	"Cytochrome P450"	1417.01492540826	0.394847596468084	0.552046561429823	0.715243285721068	0.474458726380992	0.814117689908552	5186	783	1323	568	601	1435	877	1384	937	2093
"Solyc02g093540"	"Cytochrome P450"	77.9402084184769	-0.628817823334187	0.887677253749325	-0.708385644307341	0.478705804859715	0.816491483141451	137	150	157	31	15	22	24	11	28	266
"Solyc01g096280"	"Cytochrome P450"	39.1205556598902	0.531302970439432	0.785818716561981	0.676113916914482	0.498968321384006	0.827961557400341	134	18	22	86	14	24	52	34	14	9
"Solyc04g078340"	"Cytochrome P450"	236.191789772974	-1.35981256036662	2.0204111326456	-0.673037550820675	0.500923401715469	0.828919045255841	0	444	21	1494	186	9	17	10	61	0
"Solyc10g007930"	"Cytochrome P450"	127.449825515558	0.497887571051926	0.777328193539636	0.640511401991928	0.521840178824647	0.840064537319803	240	132	21	147	81	300	114	206	50	11
"Solyc02g090350"	"Cytochrome P450"	8830.11580472259	-0.497164476365891	0.780753761386316	-0.636774999947639	0.524271412617016	0.841184283094569	22065	10011	19071	4131	885	9575	7202	904	3117	17746
"Solyc11g006590"	"Cytochrome P450"	2250.09431529578	0.257390876694265	0.413873608150541	0.621906958127762	0.53400304953261	0.845614396410767	4514	3312	2634	1048	1085	2087	2657	1468	3091	1383
"Solyc11g069800"	"cytochrome P450"	1072.7017327419	-0.262707931260568	0.425711828503649	-0.617102729289835	0.537166968589376	0.84710862147589	2001	948	572	1218	277	1775	958	1019	1107	1276
"Solyc06g084760"	"Cytochrome P450 monooxygenase CYP72A68 "	150.988332704111	0.390141261439202	0.68163191497935	0.572363548222388	0.567075705611867	0.861691224455304	123	517	138	97	128	62	73	47	64	327
"Solyc06g066270"	"Cytochrome P450"	664.480274207675	-0.414969113742333	0.725798567237138	-0.571741434158482	0.567497159372118	0.862084023313968	46	891	448	473	426	242	812	646	1854	763
"Solyc10g083790"	"Cytochrome P450"	789.769827052298	-0.0977497829971376	0.173262136129612	-0.564172791474844	0.572636542914008	0.864828641993871	892	835	1053	704	643	699	768	745	642	1052
"Solyc03g112030"	"Cytochrome P450"	100.441416661203	-0.55123463687578	1.00305302308243	-0.549556827197238	0.582623377393786	0.868095976887564	42	273	223	16	9	37	93	16	19	344
"Solyc03g025640"	"Cytochrome P450"	11.890196810744	-0.610330067713274	1.1406765195017	-0.535059727520202	0.592608556848608	0.873914612199422	22	13	3	45	7	16	2	6	5	0
"Solyc04g083160"	"cytochrome P450"	124.106349080079	0.363043112580656	0.685918831019984	0.529279990812905	0.596611233897267	0.874796930134841	15	126	140	110	263	67	116	135	166	50
"Solyc08g074260"	"Cytochrome P450"	49.0412598090464	0.51703530992358	0.98220544463459	0.526402406693981	0.598608643869528	0.875710707356006	90	108	3	45	15	36	58	37	110	1
"Solyc01g094140"	"Cytochrome P450"	324.655363930515	0.400476203442154	0.770228441124743	0.519944709984157	0.603102111960996	0.878353295823112	10	639	293	368	126	184	717	374	291	259
"Solyc07g019460"	"Cytochrome P450 NADPH-reductase "	8415.25659547839	0.269281121016422	0.548097858989294	0.491301172956566	0.623213450376698	0.8891199624781	27517	9088	9261	6328	2121	5423	6410	5679	4098	14397
"Solyc04g050620"	"Cytochrome P450"	1422.56179537306	-0.180480272596431	0.377812994959603	-0.477697366168489	0.63286561921148	0.892619855366408	980	1927	1641	1420	844	1043	1190	1802	789	2934
"Solyc04g011680"	"Cytochrome P450"	15.4036998092715	0.744972535059647	1.60036403073754	0.465501923781879	0.641572059571771	0.896288465899539	73	31	30	0	1	27	5	1	1	0
"Solyc01g088760"	"Cytochrome P450"	372.383392629772	0.192639231785542	0.418610205655033	0.4601876141173	0.645381560541994	0.896646527426348	167	719	285	450	347	286	502	261	406	306
"Solyc08g081220"	"Cytochrome P450"	12813.3349133447	-0.288106235658778	0.627184546891753	-0.459364372235566	0.645972528443113	0.896692933878136	9342	3978	19741	4330	7072	5835	21058	16416	7416	37432
"Solyc01g109140"	"Cytochrome P450"	129.677393608883	0.752718177390036	1.68924940657644	0.445593276196883	0.655891068372076	0.90114996372508	0	741	14	374	4	61	29	86	8	0
"Solyc12g042480"	"Cytochrome P450"	449.584525482502	-0.466103061003033	1.05957180554363	-0.439897568587991	0.660011296967588	0.902759262189183	78	1408	46	693	93	635	275	126	1145	11
"Solyc09g092620"	"Cytochrome P450"	19662.7475536349	0.34955047351219	0.818977782854088	0.426813133189069	0.669515439977274	0.906568368256041	87009	23269	30969	5939	1838	10449	10753	3627	12938	28810
"Solyc07g041500"	"Cytochrome P450"	21.625558486391	-0.372700915483984	0.909451849022975	-0.409808299234728	0.681946577721043	0.912642446439419	9	19	10	44	0	19	19	48	27	21
"Solyc12g088510"	"Cytochrome P450"	403.922816953891	0.299977325136091	0.749572061477021	0.400198113767727	0.689010603791783	0.914968361238454	1068	439	49	164	119	186	612	187	1011	404
"Solyc07g055490"	"Cytochrome P450"	238.124710463126	-0.355428520115936	0.895469007331727	-0.396918840524726	0.691427310299947	0.91546854153532	13	607	82	112	84	484	108	250	583	68
"Solyc11g030730"	"Cytochrome P450"	136.51624761224	0.204546724278534	0.535364385442519	0.382070099992662	0.702409369198351	0.919307206152473	39	180	116	209	234	95	153	98	78	137
"Solyc02g084570"	"Cytochrome P450"	9549.29381647632	-0.153006479871568	0.405291576461326	-0.377521983574134	0.705785730414834	0.920533334935956	3768	7567	8776	10973	6269	7825	11353	15682	8821	14833
"Solyc11g007980"	"Cytochrome P450"	175.131036166818	0.612428866115979	1.65264313636694	0.370575384751425	0.710953818810389	0.921582742318562	1	814	0	40	23	135	127	141	497	0
"Solyc02g090290"	"Cytochrome P450"	1064.60261820499	0.340642087649957	0.931830062841474	0.365562457398317	0.714691593469079	0.922928080653588	4159	771	91	456	491	807	840	365	3117	91
"Solyc08g014190"	"Cytochrome P450"	28232.0037492716	-0.251198842382437	0.691612249409138	-0.363207624788373	0.716449792248576	0.92324735650993	72565	29574	52190	5352	5678	23580	25466	9210	14956	65023
"Solyc07g006890"	"Cytochrome P450"	947.399923150995	0.325938305561007	0.921754640811214	0.353606362398302	0.72363390554844	0.924880718481455	1046	588	1920	577	525	964	538	2572	658	5
"Solyc04g083140"	"cytochrome P450"	9.55249290748505	0.599854785497414	1.70959350409048	0.350875681302113	0.725681616520592	0.925501030474704	0	46	11	16	0	8	15	0	1	1
"Solyc07g056160"	"Cytochrome P450"	30.2524485080622	0.341865707680053	1.0444464299945	0.327317608507555	0.743427675651371	0.930596906539378	10	64	23	49	12	50	76	12	9	0
"Solyc01g094130"	"Cytochrome P450"	88.233009818896	0.332408719479415	1.02157518427916	0.325388404686011	0.74488713018155	0.931383653506786	2	136	22	184	26	27	196	134	129	11
"Solyc03g122360"	"Cytochrome P450"	130.536311206722	0.341787618459363	1.05587446728441	0.323700997655907	0.746164415471727	0.932026650383525	2	76	93	185	24	239	132	475	34	20
