sample,genotype,phenotype,treatment,day,B_pinene,carene,A_phellandrene,A_terpinene,B_phellandreneD_limonene,trans_B_ocimene,Terpinolene,Linalool,Geraniol,TMA,B_caryophyllene,RF_candidate,A_humulene,zingiberene,R-curcumene ,Cuparene,Nerolidol,Zingiberenol,epoxy_zingiberenol,Total_Monoterpenes,Total_sesquiterpenes,Total_zingiberene_and_derivatives,total_MVA_terpenes,total_MEP_terpenes
73_Fos_14days_2,73,active,fosmidomycin,14,0,0,-22.56349365,0,-20.13084232,0,0,0,0,-100,-100,-100,-100,-100,-97.30828995,0,-100,-100,-100,-21.44337871,-99.31391492,-99.09542107,-100,-99.55567426
73_Fos_14days_3,73,active,fosmidomycin,14,0,0,-35.38648045,0,-100,0,0,0,0,-100,-100,-100,-100,-98.09893419,-98.20780688,0,-100,-100,-100,-65.1377925,-98.68634704,-98.26799498,-100,-98.60301023
73_Fos_7days_1,73,active,fosmidomycin,7,0,-100,-37.81976519,0,-24.55883553,0,0,0,0,-58.23833589,-54.29487373,-76.81531936,-71.66817664,-74.57491716,-63.69265755,0,-100,-100,-43.42483007,-43.88691314,-70.52863587,-70.1205252,-70.04935121,-70.38323044
73_Fos_7days_2,73,active,fosmidomycin,7,0,-100,-7.034842331,0,-14.7932442,0,0,0,0,-63.63061698,-85.44298222,-80.36402303,-72.48947051,-75.88593348,-76.20098398,0,-100,-100,-47.2262324,-25.44674346,-76.26963422,-75.58672078,-77.40469145,-72.6434089
73_Fos_7days_3,73,active,fosmidomycin,7,0,-100,15.39449735,0,-33.01571185,0,0,0,0,-62.79106998,-68.27750332,-62.69906206,-55.22475346,-58.15967013,-72.60153062,0,-35.56960548,-100,-43.12272163,-20.59155886,-62.28899697,-63.90306074,-56.56534161,-59.68185536
73_Mev_14days_1,73,active,mevastatin,14,0,0,18.58913872,0,21.95989697,0,0,0,0,-27.60770603,-45.0206956,-39.28884015,-3.546859453,-32.42805992,-30.37480307,0,110.4342868,-62.03911489,-43.36909486,20.14120525,-29.63733075,-32.91527185,-12.25723942,-33.02269208
73_Mev_14days_2,73,active,mevastatin,14,0,0,13.97571121,0,27.5151958,0,0,0,0,-17.31188035,-55.43141396,-53.94420345,-14.00732382,-26.24009118,-24.93285101,0,108.6930689,-64.31356113,-27.65953271,20.20997044,-27.69814909,-26.71409205,-22.55979316,-27.61353388
73_Mev_14days_3,73,active,mevastatin,14,0,0,40.01643362,0,13.25714048,0,0,0,0,4.42319495,-42.98077431,-9.293174628,1.165419694,-15.5232506,-27.13008621,0,211.9231852,-26.4614671,-3.136665135,27.69511007,-16.23835729,-19.07896022,-6.617051905,-10.3599952
73_Mev_7days_1,73,active,mevastatin,7,0,-100,-7.244141771,0,-2.289033722,0,0,0,0,1.452621993,-21.80978369,-19.87295133,10.3318142,-0.358422759,-8.630106353,0,-20.68329957,-100,3.357816857,-21.31535366,-5.090562035,-5.554529067,0.975601998,-4.314679844
73_Mev_7days_2,73,active,mevastatin,7,0,-100,6.489522008,0,-21.27650646,0,0,0,0,2.293143146,-15.34623701,-16.95070036,-19.63351199,-17.10223235,18.3313029,0,-44.40891953,7.307876281,49.92212304,-20.99384545,-6.329155743,-1.295933765,-20.58998571,-9.862045805
73_Mev_7days_3,73,active,mevastatin,7,0,-100,19.39400707,0,21.96769107,0,0,0,0,38.3860834,12.02591948,16.68462256,39.43965514,62.0277669,37.89954243,0,-3.730530799,52.2263814,124.1596726,-0.006551645,47.4261428,55.06657559,30.18506216,53.9917964
