gene	seqid	start	end	log2ratio_P28
Solyc01g008410.1.1	SL2.50ch01	2493128	2495552	9.29048300976626
Solyc01g008500.2.1	SL2.50ch01	2608681	2614375	4.32641110371448
Solyc01g008570.1.1	SL2.50ch01	2669822	2671022	4.59465549197565
Solyc01g008640.2.1	SL2.50ch01	2707156	2708925	4.08264559202787
Solyc01g008650.2.1	SL2.50ch01	2712022	2714463	3.79029061252386
Solyc01g008720.1.1	SL2.50ch01	2760070	2763366	5.58865675135421
Solyc01g009480.2.1	SL2.50ch01	3702854	3706348	3.88143850058205
Solyc01g009760.2.1	SL2.50ch01	4138755	4141165	3.69299341116895
Solyc01g009930.1.1	SL2.50ch01	4520578	4522877	-4.31823384425431
Solyc01g011470.1.1	SL2.50ch01	9342757	9343038	4.7850539641577
Solyc01g014220.1.1	SL2.50ch01	11859566	11862587	3.58865675135421
Solyc01g014280.2.1	SL2.50ch01	11968470	11970291	7.02161615863032
Solyc01g014520.1.1	SL2.50ch01	14027537	14028823	4.79029061252386
Solyc01g014530.2.1	SL2.50ch01	14029326	14030618	3.91058484624156
Solyc01g015030.1.1	SL2.50ch01	16669138	16671698	5.48589717692901
Solyc01g016570.1.1	SL2.50ch01	20508652	20509218	-3.37712753330788
Solyc01g017600.2.1	SL2.50ch01	24335323	24337341	4.54487505932629
Solyc01g017710.1.1	SL2.50ch01	24903762	24903917	-3.73327134353316
Solyc01g017720.1.1	SL2.50ch01	24920107	24921154	-4.93490520470281
Solyc01g044240.2.1	SL2.50ch01	42525794	42530595	4.2053281118027
Solyc01g044370.1.1	SL2.50ch01	43334748	43336765	4.39601167341181
Solyc01g056310.2.1	SL2.50ch01	53293891	53295912	-5.07904618037489
Solyc01g057390.2.1	SL2.50ch01	60823798	60825234	3.86664149865397
Solyc01g057960.1.1	SL2.50ch01	64633642	64634961	4.22092496685372
Solyc01g057980.2.1	SL2.50ch01	64658943	64659446	4.85854013219308
Solyc01g058000.2.1	SL2.50ch01	64675407	64675951	4.41301914291343
Solyc01g060120.1.1	SL2.50ch01	69585425	69589686	7.00008299708067
Solyc01g065700.2.1	SL2.50ch01	72290432	72294310	5.46640100130321
Solyc01g066420.2.1	SL2.50ch01	74296732	74298709	-3.93490520470281
Solyc01g066860.2.1	SL2.50ch01	75063078	75063883	6.60880332446598
Solyc01g066910.2.1	SL2.50ch01	75179261	75179854	4.97408778854772
Solyc01g067440.2.1	SL2.50ch01	76117127	76117760	5.6504329489409
Solyc01g067460.1.1	SL2.50ch01	76155675	76155983	3.93915399843834
Solyc01g068110.2.1	SL2.50ch01	77233578	77234566	-5.05519943842052
Solyc01g068120.2.1	SL2.50ch01	77234467	77235354	-5.05519943842052
Solyc01g068410.2.1	SL2.50ch01	77668365	77671367	4.2394213104711
Solyc01g079660.2.1	SL2.50ch01	78784198	78785134	-4.15665742410247
Solyc01g079670.2.1	SL2.50ch01	78790202	78790885	-4.49448448394604
Solyc01g080260.2.1	SL2.50ch01	79493188	79496010	4.82131750814448
Solyc01g080290.2.1	SL2.50ch01	79534704	79535992	4.63741606327406
Solyc01g080480.2.1	SL2.50ch01	79712302	79714399	-3.98263081246988
Solyc01g080770.2.1	SL2.50ch01	79996218	79999562	3.99464911103004
Solyc01g080790.2.1	SL2.50ch01	80065743	80066751	4.25825050254254
Solyc01g081140.1.1	SL2.50ch01	80459586	80461533	3.62428066108493
Solyc01g073680.2.1	SL2.50ch01	81046355	81047954	4.57354985896399
Solyc01g073700.2.1	SL2.50ch01	81070084	81071866	5.94268568940859
Solyc01g086720.2.1	SL2.50ch01	81676121	81679610	3.76922899699603
Solyc01g087180.2.1	SL2.50ch01	82119357	82121045	-3.51754265247772
Solyc01g087360.1.1	SL2.50ch01	82310958	82312231	3.7713490488704
Solyc01g087810.2.1	SL2.50ch01	82696867	82699405	4.59519959722097
Solyc01g088280.1.1	SL2.50ch01	83075048	83075735	4.06300007939543
Solyc01g090120.2.1	SL2.50ch01	83762381	83763785	-4.084693379562
Solyc01g090760.2.1	SL2.50ch01	84419008	84420178	3.64755044040777
Solyc01g090970.2.1	SL2.50ch01	84676405	84677350	6.54285306174108
Solyc01g091040.2.1	SL2.50ch01	84761504	84764596	4.88878047592322
Solyc01g091060.1.1	SL2.50ch01	84785592	84788458	-3.50586084743008
Solyc01g094140.2.1	SL2.50ch01	85694096	85696732	8.2695436720739
Solyc01g094690.2.1	SL2.50ch01	86136714	86139468	3.65607451271431
Solyc01g095140.2.1	SL2.50ch01	86522427	86523239	-5.01137093680026
Solyc01g095320.2.1	SL2.50ch01	86628756	86633652	-4.07985354061391
Solyc01g095450.2.1	SL2.50ch01	86689056	86691448	3.96716837460794
Solyc01g095930.2.1	SL2.50ch01	87067660	87070202	-3.90319634497547
Solyc01g095940.2.1	SL2.50ch01	87068827	87070435	-3.65080918334119
Solyc01g096250.2.1	SL2.50ch01	87335253	87336476	4.53725759884756
Solyc01g096260.2.1	SL2.50ch01	87339655	87341274	4.23635500742332
Solyc01g096880.2.1	SL2.50ch01	87873761	87877418	3.7713490488704
Solyc01g097180.2.1	SL2.50ch01	88121639	88122909	-3.73327134353316
Solyc01g097280.2.1	SL2.50ch01	88183566	88184361	5.10524941811842
Solyc01g097480.1.1	SL2.50ch01	88320184	88320597	-3.80366067142456
Solyc01g097490.1.1	SL2.50ch01	88320866	88321720	-4.05519943842052
Solyc01g097950.2.1	SL2.50ch01	88612436	88615431	5.06414077527687
Solyc01g098240.1.1	SL2.50ch01	88820781	88827627	5.31694010242061
Solyc01g099180.2.1	SL2.50ch01	89486983	89490521	4.22557133171008
Solyc01g099190.2.1	SL2.50ch01	89490879	89495214	3.92494013921863
Solyc01g099210.2.1	SL2.50ch01	89509072	89512847	-3.54062626559076
Solyc01g099560.2.1	SL2.50ch01	89763193	89764245	6.3594857973867
Solyc01g099630.2.1	SL2.50ch01	89810092	89812819	4.26271377061554
Solyc01g100120.2.1	SL2.50ch01	90208882	90215867	3.69299341116894
Solyc01g100920.2.1	SL2.50ch01	90820400	90823534	5.25541334323901
Solyc01g101080.1.1	SL2.50ch01	90935029	90936942	3.58865675135421
Solyc01g102520.2.1	SL2.50ch01	91311060	91314639	5.63741606327406
Solyc01g103530.2.1	SL2.50ch01	92121417	92125679	3.69968806374295
Solyc01g104400.2.1	SL2.50ch01	92774874	92777517	5.06275003114691
Solyc01g105580.1.1	SL2.50ch01	93712832	93714154	3.88143850058205
Solyc01g105610.1.1	SL2.50ch01	93727664	93728338	-3.68746765392003
Solyc01g105650.2.1	SL2.50ch01	93751889	93753704	-6.44947837753257
Solyc01g105810.2.1	SL2.50ch01	93849291	93855176	3.5796116117512
Solyc01g105880.2.1	SL2.50ch01	93897124	93899831	4.07408357852444
Solyc01g105900.2.1	SL2.50ch01	93919030	93921486	4.36476073942737
Solyc01g107080.2.1	SL2.50ch01	94725240	94726747	-4.09082334815124
Solyc01g107650.2.1	SL2.50ch01	95127596	95130887	4.64755044040777
Solyc01g107820.2.1	SL2.50ch01	95232687	95234555	-3.3967079022774
Solyc01g107850.2.1	SL2.50ch01	95248816	95249990	-3.6077404614493
Solyc01g107960.2.1	SL2.50ch01	95341776	95344010	4.06114452281695
Solyc01g108000.2.1	SL2.50ch01	95385535	95389986	3.80070722846919
Solyc01g108390.2.1	SL2.50ch01	95705618	95706157	4.98097417413297
Solyc01g108450.2.1	SL2.50ch01	95778963	95782544	3.64176808781377
Solyc01g108520.1.1	SL2.50ch01	95825792	95826739	3.76922899699603
Solyc01g108630.2.1	SL2.50ch01	95879833	95882578	4.69170240880907
Solyc01g108710.2.1	SL2.50ch01	95946444	95946875	6.17361925207537
Solyc01g108780.2.1	SL2.50ch01	95970449	95971618	4.65459595458022
Solyc01g108800.2.1	SL2.50ch01	95980975	95988841	4.00669673879457
Solyc01g108860.2.1	SL2.50ch01	96009245	96010892	3.91058484624157
Solyc01g109190.1.1	SL2.50ch01	96226220	96226420	3.58865675135421
Solyc01g109390.2.1	SL2.50ch01	96361928	96362671	4.851691157188
Solyc01g109430.2.1	SL2.50ch01	96384122	96386135	5.53351519716175
Solyc01g109470.2.1	SL2.50ch01	96411714	96413127	4.50513339579192
Solyc01g109740.2.1	SL2.50ch01	96615614	96617420	-3.54062626559077
Solyc01g109800.2.1	SL2.50ch01	96662690	96663884	4.41647577597152
Solyc01g109840.2.1	SL2.50ch01	96684901	96685827	3.98097417413297
Solyc01g110320.2.1	SL2.50ch01	97050246	97053956	3.96716837460794
Solyc01g110630.2.1	SL2.50ch01	97267343	97267786	5.22092496685371
Solyc01g111540.2.1	SL2.50ch01	97773639	97778852	3.7813018292966
Solyc01g111820.2.1	SL2.50ch01	97982050	97982637	-3.4113432486458
Solyc01g111880.2.1	SL2.50ch01	98042498	98050306	4.8554432920491
Solyc02g044050.1.1	SL2.50ch02	147085	150358	-4.25683329959017
Solyc02g044000.1.1	SL2.50ch02	163798	170040	-4.6240422737784
Solyc02g050270.1.1	SL2.50ch02	4674724	4679671	5.41647577597152
Solyc02g021260.1.1	SL2.50ch02	22388447	22395289	3.69299341116895
Solyc02g021520.1.1	SL2.50ch02	23142238	23142516	5.34532425996296
Solyc02g031740.2.1	SL2.50ch02	26833755	26834848	6.36054232986957
Solyc02g032360.2.1	SL2.50ch02	28358088	28358810	-4.11793519376848
Solyc02g032940.2.1	SL2.50ch02	29478325	29484535	4.02694960293335
Solyc02g037540.1.1	SL2.50ch02	31080754	31083828	6.44165433896752
Solyc02g061860.1.1	SL2.50ch02	33401588	33402143	6.19154116007262
Solyc02g062760.2.1	SL2.50ch02	34539201	34540196	3.75858175279652
Solyc02g062860.2.1	SL2.50ch02	34794902	34796686	-4.54062626559076
Solyc02g062870.2.1	SL2.50ch02	34807178	34809050	-4.54062626559076
Solyc02g063250.2.1	SL2.50ch02	35304987	35307480	-3.5765458398457
Solyc02g065000.1.1	SL2.50ch02	36129001	36129522	6.22092496685372
Solyc02g065160.1.1	SL2.50ch02	36317459	36323167	4.09961867063159
Solyc02g065230.2.1	SL2.50ch02	36403136	36404871	4.23251294112893
Solyc02g067450.2.1	SL2.50ch02	37643757	37649399	-5.25683329959017
Solyc02g068040.2.1	SL2.50ch02	38088717	38089867	-3.73327134353316
Solyc02g068160.1.1	SL2.50ch02	38194316	38194552	4.09961867063159
Solyc02g068250.2.1	SL2.50ch02	38243908	38244269	-4.05519943842052
Solyc02g068880.1.1	SL2.50ch02	38760819	38762047	-3.47023693769935
Solyc02g069020.2.1	SL2.50ch02	38971520	38974054	3.62867243020208
Solyc02g069040.2.1	SL2.50ch02	38978120	38979621	4.91058484624157
Solyc02g069060.2.1	SL2.50ch02	39033490	39034511	5.16154641977479
Solyc02g069140.1.1	SL2.50ch02	39092402	39095627	5.39601167341181
Solyc02g069250.2.1	SL2.50ch02	39188284	39190211	4.03282161333819
Solyc02g070090.1.1	SL2.50ch02	39928195	39929799	-5.08376859061729
Solyc02g070420.2.1	SL2.50ch02	40141411	40144068	6.23827221041762
Solyc02g070610.2.1	SL2.50ch02	40319827	40321178	4.04808836999151
Solyc02g070970.1.1	SL2.50ch02	40512599	40513396	3.84235210736657
Solyc02g070980.1.1	SL2.50ch02	40515041	40515838	3.8818445504133
Solyc02g070990.1.1	SL2.50ch02	40517380	40518177	4.00977949569103
Solyc02g071070.2.1	SL2.50ch02	40564753	40568536	-4.54062626559076
Solyc02g071200.2.1	SL2.50ch02	40683411	40685471	4.25919498378144
Solyc02g072050.1.1	SL2.50ch02	41339806	41341601	5.54285306174109
Solyc02g076990.2.1	SL2.50ch02	42073070	42074496	4.75858175279652
Solyc02g077030.2.1	SL2.50ch02	42106110	42107647	6.96195694796259
Solyc02g077110.2.1	SL2.50ch02	42169831	42171393	-3.54138101059405
Solyc02g077190.1.1	SL2.50ch02	42195941	42198547	-4.54062626559076
Solyc02g077420.2.1	SL2.50ch02	42360677	42362202	-3.45112811475166
Solyc02g077430.2.1	SL2.50ch02	42373947	42375511	-3.72916694520042
Solyc02g077950.1.1	SL2.50ch02	42770876	42772015	4.12470965159442
Solyc02g078150.2.1	SL2.50ch02	42930528	42931940	5.39343312931003
Solyc02g078530.2.1	SL2.50ch02	43198365	43202227	-3.87375256708299
Solyc02g079080.1.1	SL2.50ch02	43708012	43711238	4.41647577597153
Solyc02g079350.2.1	SL2.50ch02	43943145	43945948	-3.87571560855336
Solyc02g079370.2.1	SL2.50ch02	43962248	43964004	3.65904607924561
Solyc02g079530.2.1	SL2.50ch02	44063905	44067062	-3.65927076208938
Solyc02g079790.2.1	SL2.50ch02	44236649	44237597	4.18161204282889
Solyc02g080030.1.1	SL2.50ch02	44369655	44371926	-3.90319634497547
Solyc02g080120.1.1	SL2.50ch02	44432042	44436667	-4.03408342160153
Solyc02g080900.2.1	SL2.50ch02	45008581	45010055	5.4761820220958
Solyc02g081120.2.1	SL2.50ch02	45189213	45196103	4.09115709188339
Solyc02g081670.1.1	SL2.50ch02	45542385	45543752	5.34354425351767
Solyc02g081740.1.1	SL2.50ch02	45571185	45572595	-6.50586084743009
Solyc02g081750.1.1	SL2.50ch02	45577569	45578987	-7.36262796361276
Solyc02g081760.1.1	SL2.50ch02	45584975	45586397	-6.64016193914168
Solyc02g082050.2.1	SL2.50ch02	45790416	45796212	5.5241164991595
Solyc02g082880.2.1	SL2.50ch02	46527494	46529754	3.98293569046625
Solyc02g083050.1.1	SL2.50ch02	46615396	46616211	4.89608527654646
Solyc02g083480.2.1	SL2.50ch02	46869491	46870988	4.95633844140718
Solyc02g083490.2.1	SL2.50ch02	46872102	46873459	5.17018016810859
Solyc02g083630.2.1	SL2.50ch02	46968445	46970751	6.09009589651308
Solyc02g084010.1.1	SL2.50ch02	47234951	47235259	3.62428066108493
Solyc02g084850.2.1	SL2.50ch02	47925819	47926954	-3.94477544872687
Solyc02g087010.2.1	SL2.50ch02	49566691	49570507	4.54595230039997
Solyc02g087070.2.1	SL2.50ch02	49599947	49603676	3.79811011698316
Solyc02g087390.1.1	SL2.50ch02	49845818	49849206	4.58061943228878
Solyc02g087520.2.1	SL2.50ch02	49933738	49935582	-3.47951475128737
Solyc02g087830.2.1	SL2.50ch02	50091700	50094558	5.96716837460794
Solyc02g087840.2.1	SL2.50ch02	50097434	50099068	3.9328540100826
Solyc02g087860.2.1	SL2.50ch02	50126067	50127799	4.40628000886564
Solyc02g087970.1.1	SL2.50ch02	50205827	50206099	6.44165433896752
Solyc02g088380.2.1	SL2.50ch02	50481961	50483104	-5.43371106167425
Solyc02g088430.1.1	SL2.50ch02	50519539	50528097	3.67611959260454
Solyc02g089030.1.1	SL2.50ch02	50935825	50936040	4.69019477781626
Solyc02g089040.2.1	SL2.50ch02	50936142	50936467	3.82744361094132
Solyc02g089140.2.1	SL2.50ch02	51017129	51017784	-4.31823384425432
Solyc02g089550.2.1	SL2.50ch02	51333352	51336697	5.79029061252385
Solyc02g089830.1.1	SL2.50ch02	51526499	51527306	4.79029061252386
Solyc02g089860.1.1	SL2.50ch02	51562124	51562957	3.851691157188
Solyc02g090120.1.1	SL2.50ch02	51744504	51744764	-5.16623075080927
Solyc02g091040.2.1	SL2.50ch02	52481514	52482028	-3.99453665651389
Solyc02g091070.2.1	SL2.50ch02	52490698	52492722	3.851691157188
Solyc02g091250.1.1	SL2.50ch02	52610971	52611363	-3.71189769274059
Solyc02g092120.2.1	SL2.50ch02	53326737	53327292	-7.82426587575375
Solyc02g092580.2.1	SL2.50ch02	53627090	53629631	4.41240611166248
Solyc02g092850.1.1	SL2.50ch02	53819031	53820538	-4.19270296217045
Solyc02g092890.1.1	SL2.50ch02	53839192	53839464	-4.05519943842052
Solyc02g093040.2.1	SL2.50ch02	53982990	53984514	-3.40312274184083
Solyc02g094000.1.1	SL2.50ch02	54665460	54665885	-4.46119179809635
Solyc02g094180.2.1	SL2.50ch02	54788317	54789985	-4.58592962745798
Solyc03g005200.2.1	SL2.50ch03	118708	120103	-4.05112977411147
Solyc03g005280.2.1	SL2.50ch03	161169	164845	4.93561364073309
Solyc03g005480.2.1	SL2.50ch03	373917	377991	3.72251249808899
Solyc03g005650.1.1	SL2.50ch03	465276	467974	-5.73327134353316
Solyc03g005860.2.1	SL2.50ch03	581458	589104	4.49554734696272
Solyc03g005980.2.1	SL2.50ch03	659208	662352	4.53351519716174
Solyc03g006040.2.1	SL2.50ch03	726858	728983	-4.05519943842052
Solyc03g006220.2.1	SL2.50ch03	848503	853887	4.2890964694953
Solyc03g006260.2.1	SL2.50ch03	879216	885631	3.60657865935147
Solyc03g006410.2.1	SL2.50ch03	1009242	1011978	4.5886567513542
Solyc03g006440.1.1	SL2.50ch03	1038528	1039007	-6.68746765392002
Solyc03g006450.1.1	SL2.50ch03	1042054	1042533	-5.91617906512633
Solyc03g006620.2.1	SL2.50ch03	1197406	1198978	-3.92704308692984
Solyc03g006750.1.1	SL2.50ch03	1291007	1291699	-5.05519943842052
Solyc03g006780.2.1	SL2.50ch03	1308096	1310585	3.91178659145132
Solyc03g006790.1.1	SL2.50ch03	1311139	1312507	6.51465616991043
Solyc03g006880.2.1	SL2.50ch03	1408533	1410323	4.14119777438298
Solyc03g007200.1.1	SL2.50ch03	1775153	1776974	4.76816780162572
Solyc03g007890.2.1	SL2.50ch03	2410871	2414110	-3.50586084743008
Solyc03g007960.2.1	SL2.50ch03	2447872	2450289	-3.76385966336658
Solyc03g025380.2.1	SL2.50ch03	2813769	2816283	-3.66884173170362
Solyc03g025860.2.1	SL2.50ch03	3254484	3256636	3.57050940464394
Solyc03g026230.1.1	SL2.50ch03	3666703	3668286	-4.91318043354809
Solyc03g031530.2.1	SL2.50ch03	4032261	4036920	4.12470965159441
Solyc03g033410.2.1	SL2.50ch03	4976441	4978472	4.49554734696273
Solyc03g034230.2.1	SL2.50ch03	5924936	5928009	4.66760809274903
Solyc03g034320.2.1	SL2.50ch03	6064544	6068309	3.84163749252408
Solyc03g034380.1.1	SL2.50ch03	6240690	6240992	3.64145916855873
Solyc03g042560.1.1	SL2.50ch03	6964865	6966333	4.92969366918927
Solyc03g043740.2.1	SL2.50ch03	7270735	7271823	4.6439391868554
Solyc03g043910.2.1	SL2.50ch03	7629024	7635030	3.60657865935147
Solyc03g044840.1.1	SL2.50ch03	10648286	10654245	6.05748440658515
Solyc03g044900.2.1	SL2.50ch03	10781843	10782851	4.44331738819017
Solyc03g058890.2.1	SL2.50ch03	26591514	26594240	-5.05519943842052
Solyc03g058990.1.1	SL2.50ch03	27262090	27262335	4.12470965159441
Solyc03g059270.2.1	SL2.50ch03	28242569	28244769	5.94620875597229
Solyc03g077920.1.1	SL2.50ch03	48535804	48538173	4.35419149771718
Solyc03g078690.2.1	SL2.50ch03	51376590	51378170	-3.90319634497547
Solyc03g078700.2.1	SL2.50ch03	51378128	51378816	-3.65927076208938
Solyc03g078710.1.1	SL2.50ch03	51378668	51378934	-3.47023693769937
Solyc03g078830.1.1	SL2.50ch03	51534338	51535657	3.60062939302028
Solyc03g079870.1.1	SL2.50ch03	51681785	51681979	-3.93972222100059
Solyc03g079960.2.1	SL2.50ch03	51869768	51871002	3.80588746757487
Solyc03g080030.2.1	SL2.50ch03	51919367	51920710	-4.31823384425431
Solyc03g080100.2.1	SL2.50ch03	52006741	52009253	4.0799472838082
Solyc03g081260.2.1	SL2.50ch03	52152494	52156330	4.46312586927035
Solyc03g082780.1.1	SL2.50ch03	52643893	52647690	4.69299341116894
Solyc03g083730.1.1	SL2.50ch03	53670191	53670796	-4.48873328131675
Solyc03g083810.2.1	SL2.50ch03	53716970	53717973	-4.90319634497547
Solyc03g083990.1.1	SL2.50ch03	53931600	53931971	8.05031905468932
Solyc03g091010.1.1	SL2.50ch03	54121867	54122196	5.32922458220061
Solyc03g091020.1.1	SL2.50ch03	54145663	54145992	4.95882103189441
Solyc03g093040.2.1	SL2.50ch03	54198438	54200477	5.30015165800429
Solyc03g093060.1.1	SL2.50ch03	54224072	54224401	5.80743791913828
Solyc03g093070.1.1	SL2.50ch03	54228131	54228484	5.99464911103005
Solyc03g093390.2.1	SL2.50ch03	54655132	54656997	9.1818611054175
Solyc03g093650.2.1	SL2.50ch03	55272930	55279358	5.4761820220958
Solyc03g093900.1.1	SL2.50ch03	55588455	55589239	5.40628000886563
Solyc03g094020.2.1	SL2.50ch03	55743540	55747453	-3.87077486728309
Solyc03g095660.1.1	SL2.50ch03	56843659	56843861	5.34354425351768
Solyc03g097420.2.1	SL2.50ch03	59747259	59748433	4.91058484624157
Solyc03g097430.1.1	SL2.50ch03	59753732	59754379	4.37525311324502
Solyc03g097590.2.1	SL2.50ch03	59925733	59927601	5.68795195569198
Solyc03g098290.2.1	SL2.50ch03	60636360	60640569	6.21217249284475
Solyc03g098670.1.1	SL2.50ch03	60963114	60963719	-4.05519943842052
Solyc03g020040.2.1	SL2.50ch03	61180880	61181788	3.62050201396959
Solyc03g020030.2.1	SL2.50ch03	61189044	61189951	4.68355709425125
Solyc03g111100.1.1	SL2.50ch03	61766912	61767844	-3.8085594708374
Solyc03g111810.2.1	SL2.50ch03	62428320	62431344	5.34293594309778
Solyc03g112200.1.1	SL2.50ch03	62686513	62687268	3.80381760345958
Solyc03g112220.1.1	SL2.50ch03	62690535	62690825	4.29647599986089
Solyc03g112240.1.1	SL2.50ch03	62712203	62712598	4.80588746757488
Solyc03g112790.2.1	SL2.50ch03	63123041	63124660	4.84415748450259
Solyc03g112840.1.1	SL2.50ch03	63145509	63147199	4.19746599402973
Solyc03g113210.2.1	SL2.50ch03	63431767	63433056	3.71064727573281
Solyc03g113440.2.1	SL2.50ch03	63586871	63589273	-3.73327134353316
Solyc03g113480.1.1	SL2.50ch03	63611314	63611889	-4.19270296217046
Solyc03g113940.2.1	SL2.50ch03	63986897	63989403	-4.26576642436019
Solyc03g114240.2.1	SL2.50ch03	64274281	64276572	3.97638690463731
Solyc03g114440.1.1	SL2.50ch03	64444360	64444899	-3.73327134353316
Solyc03g114530.2.1	SL2.50ch03	64502672	64504111	6.63585858170112
Solyc03g114540.1.1	SL2.50ch03	64507060	64508297	3.83151327525037
Solyc03g115750.1.1	SL2.50ch03	65369827	65371554	5.38912528782657
Solyc03g115970.1.1	SL2.50ch03	65530717	65531524	-4.79438285783655
Solyc03g116060.2.1	SL2.50ch03	65570732	65572267	4.28909646949529
Solyc03g116390.2.1	SL2.50ch03	65857625	65858493	-4.36553955903267
Solyc03g116440.1.1	SL2.50ch03	65875679	65878116	-4.65383687603875
Solyc03g116820.2.1	SL2.50ch03	66081828	66084798	4.75858175279651
Solyc03g116890.2.1	SL2.50ch03	66139861	66142290	-3.78771912755554
Solyc03g117250.2.1	SL2.50ch03	66436252	66439323	4.1714316928376
Solyc03g119660.1.1	SL2.50ch03	68225720	68227351	-6.05519943842052
Solyc03g120320.1.1	SL2.50ch03	68748845	68749912	-3.74860299728914
Solyc03g120920.1.1	SL2.50ch03	69149927	69150481	3.96716837460794
Solyc03g121170.2.1	SL2.50ch03	69355493	69357961	3.75274087420746
Solyc03g121240.1.1	SL2.50ch03	69405420	69406562	-3.93490520470281
Solyc03g121300.2.1	SL2.50ch03	69445248	69446684	3.71440230422797
Solyc03g121340.1.1	SL2.50ch03	69464649	69464909	-4.11178296678689
Solyc03g121680.1.1	SL2.50ch03	69776404	69778930	-5.12558876631192
Solyc03g123540.2.1	SL2.50ch03	70366718	70367347	-3.3726816282767
Solyc04g005360.1.1	SL2.50ch04	257826	259469	4.05463121585827
Solyc04g005910.2.1	SL2.50ch04	585686	590298	5.27048079132795
Solyc04g006950.2.1	SL2.50ch04	644436	645651	5.09780964839971
Solyc04g007680.2.1	SL2.50ch04	1363357	1364224	6.22673058853493
Solyc04g007760.2.1	SL2.50ch04	1435905	1437368	5.64176808781377
Solyc04g007780.2.1	SL2.50ch04	1466509	1468357	6.71174350233527
Solyc04g008960.2.1	SL2.50ch04	2559465	2560652	4.41647577597153
Solyc04g009250.1.1	SL2.50ch04	2719885	2722407	4.96253692587629
Solyc04g010140.1.1	SL2.50ch04	3430046	3430213	-4.31823384425432
Solyc04g011600.2.1	SL2.50ch04	4029691	4031884	-3.80531513839588
Solyc04g011680.1.1	SL2.50ch04	4155951	4157897	-3.63139172951394
Solyc04g011940.1.1	SL2.50ch04	4311733	4313253	-5.09082334815124
Solyc04g012010.2.1	SL2.50ch04	4349137	4352103	-4.57876139447754
Solyc04g012020.1.1	SL2.50ch04	4352964	4354304	4.83006114121646
Solyc04g012050.2.1	SL2.50ch04	4376146	4378819	-4.11130454030567
Solyc04g014280.1.1	SL2.50ch04	4587842	4588132	-6.57121458542419
Solyc04g014310.1.1	SL2.50ch04	4601261	4601464	-6.72447822507515
Solyc04g014320.1.1	SL2.50ch04	4605854	4606180	-3.79269702654023
Solyc04g014510.2.1	SL2.50ch04	4779960	4784217	3.87345897227023
Solyc04g014840.2.1	SL2.50ch04	5075679	5078193	4.80588746757488
Solyc04g015030.2.1	SL2.50ch04	5235855	5241900	5.64610702353811
Solyc04g015980.2.1	SL2.50ch04	6570973	6574697	3.70967215231557
